index,condition,Estimate,ci_low,ci_high,SE,DF,time
1,Miss,0.88,-0.031,1.79,0.457,81.057,-2.5877441406249995
2,FTI,3.535,1.99,5.08,0.787,669.993,-2.5877441406249995
3,RP,0.456,-0.22,1.132,0.327,23.865,-2.5877441406249995
0,Hit,1.862,0.705,3.018,0.587,214.362,-2.5777441406249997
1,Miss,0.713,-0.189,1.615,0.454,82.172,-2.5777441406249997
2,FTI,3.64,2.106,5.174,0.781,681.567,-2.5777441406249997
3,RP,0.451,-0.218,1.12,0.324,24.068,-2.5777441406249997
0,Hit,1.801,0.655,2.947,0.582,220.753,-2.5677441406249994
1,Miss,0.405,-0.488,1.297,0.449,84.296,-2.5677441406249994
2,FTI,3.166,1.643,4.688,0.775,704.559,-2.5677441406249994
3,RP,0.363,-0.296,1.022,0.32,24.424,-2.5677441406249994
0,Hit,1.758,0.612,2.903,0.581,203.497,-2.5577441406249997
1,Miss,0.41,-0.488,1.309,0.452,79.102,-2.5577441406249997
2,FTI,2.795,1.281,4.308,0.771,635.864,-2.5577441406249997
3,RP,0.361,-0.313,1.034,0.326,23.968,-2.5577441406249997
0,Hit,1.526,0.361,2.69,0.59,179.546,-2.5477441406249994
1,Miss,0.622,-0.303,1.546,0.464,72.091,-2.5477441406249994
2,FTI,3.061,1.536,4.586,0.776,541.051,-2.5477441406249994
3,RP,0.357,-0.352,1.066,0.343,23.517,-2.5477441406249994
0,Hit,1.346,0.177,2.514,0.592,165.735,-2.5377441406249996
1,Miss,0.641,-0.294,1.576,0.469,68.272,-2.5377441406249996
2,FTI,3.313,1.793,4.832,0.773,485.896,-2.5377441406249996
3,RP,0.257,-0.471,0.986,0.353,23.491,-2.5377441406249996
0,Hit,1.351,0.191,2.512,0.588,153.93,-2.527744140625
1,Miss,0.671,-0.265,1.608,0.469,64.833,-2.527744140625
2,FTI,3.013,1.512,4.514,0.764,441.303,-2.527744140625
3,RP,0.232,-0.507,0.97,0.357,23.315,-2.527744140625
0,Hit,1.452,0.294,2.61,0.586,155.719,-2.5177441406249996
1,Miss,0.741,-0.193,1.674,0.467,65.384,-2.5177441406249996
2,FTI,2.833,1.334,4.332,0.763,447.771,-2.5177441406249996
3,RP,0.293,-0.442,1.028,0.356,23.371,-2.5177441406249996
0,Hit,1.621,0.482,2.759,0.577,177.475,-2.5077441406249994
1,Miss,0.726,-0.18,1.633,0.455,71.863,-2.5077441406249994
2,FTI,3.144,1.656,4.632,0.757,529.356,-2.5077441406249994
3,RP,0.308,-0.39,1.007,0.338,23.848,-2.5077441406249994
0,Hit,1.689,0.595,2.782,0.555,213.956,-2.4977441406249996
1,Miss,0.89,0.035,1.745,0.43,82.652,-2.4977441406249996
2,FTI,3.275,1.827,4.723,0.737,672.165,-2.4977441406249996
3,RP,0.287,-0.35,0.924,0.309,24.624,-2.4977441406249996
0,Hit,1.796,0.741,2.851,0.536,264.517,-2.487744140625
1,Miss,1.202,0.394,2.01,0.407,97.609,-2.487744140625
2,FTI,3.083,1.665,4.502,0.723,885.354,-2.487744140625
3,RP,0.254,-0.321,0.83,0.28,25.607,-2.487744140625
0,Hit,2.086,1.034,3.139,0.535,289.339,-2.4777441406249996
1,Miss,1.278,0.479,2.077,0.403,105.266,-2.4777441406249996
2,FTI,3.011,1.588,4.435,0.725,993.63,-2.4777441406249996
3,RP,0.262,-0.296,0.82,0.272,26.256,-2.4777441406249996
0,Hit,2.191,1.147,3.235,0.53,291.653,-2.4677441406249994
1,Miss,1.164,0.371,1.957,0.4,106.296,-2.4677441406249994
2,FTI,3.205,1.794,4.616,0.719,996.449,-2.4677441406249994
3,RP,0.303,-0.252,0.857,0.27,26.615,-2.4677441406249994
0,Hit,2.046,1.01,3.083,0.527,278.844,-2.4577441406249996
1,Miss,1.139,0.348,1.931,0.399,102.342,-2.4577441406249996
2,FTI,3.593,2.196,4.99,0.712,940.212,-2.4577441406249996
3,RP,0.358,-0.2,0.917,0.272,26.294,-2.4577441406249996
0,Hit,1.956,0.916,2.995,0.528,278.656,-2.447744140625
1,Miss,1.216,0.423,2.008,0.399,101.976,-2.447744140625
2,FTI,3.667,2.265,5.069,0.714,946.023,-2.447744140625
3,RP,0.382,-0.176,0.941,0.272,25.996,-2.447744140625
0,Hit,1.801,0.751,2.852,0.534,260.541,-2.4377441406249996
1,Miss,1.144,0.338,1.95,0.406,96.461,-2.4377441406249996
2,FTI,3.285,1.874,4.696,0.719,867.135,-2.4377441406249996
3,RP,0.37,-0.206,0.947,0.28,25.567,-2.4377441406249996
0,Hit,1.294,0.249,2.34,0.531,239.581,-2.4277441406249993
1,Miss,0.867,0.058,1.676,0.407,90.241,-2.4277441406249993
2,FTI,3.087,1.692,4.482,0.711,777.263,-2.4277441406249993
3,RP,0.346,-0.243,0.935,0.286,25.16,-2.4277441406249993
0,Hit,0.831,-0.202,1.864,0.524,243.545,-2.4177441406249995
1,Miss,0.653,-0.144,1.451,0.402,91.426,-2.4177441406249995
2,FTI,3.201,1.821,4.58,0.703,793.789,-2.4177441406249995
3,RP,0.271,-0.308,0.85,0.281,25.249,-2.4177441406249995
0,Hit,1.007,-0.027,2.04,0.525,244.288,-2.4077441406249998
1,Miss,0.675,-0.123,1.474,0.402,91.689,-2.4077441406249998
2,FTI,3.136,1.755,4.516,0.703,796.263,-2.4077441406249998
3,RP,0.217,-0.362,0.796,0.281,25.303,-2.4077441406249998
0,Hit,1.422,0.388,2.456,0.525,234.244,-2.3977441406249995
1,Miss,0.807,0.004,1.609,0.404,88.886,-2.3977441406249995
2,FTI,3.093,1.716,4.47,0.701,751.678,-2.3977441406249995
3,RP,0.205,-0.383,0.793,0.286,25.263,-2.3977441406249995
0,Hit,1.491,0.464,2.518,0.521,237.249,-2.3877441406249993
1,Miss,0.912,0.115,1.709,0.401,90.189,-2.3877441406249993
2,FTI,3.371,2.004,4.738,0.696,758.132,-2.3877441406249993
3,RP,0.144,-0.44,0.728,0.284,25.711,-2.3877441406249993
0,Hit,1.558,0.536,2.58,0.519,251.778,-2.3777441406249995
1,Miss,0.953,0.165,1.742,0.397,94.584,-2.3777441406249995
2,FTI,3.525,2.16,4.891,0.696,817.111,-2.3777441406249995
3,RP,0.097,-0.474,0.669,0.278,26.08,-2.3777441406249995
0,Hit,1.693,0.674,2.712,0.517,256.986,-2.3677441406249997
1,Miss,1.024,0.24,1.808,0.395,95.811,-2.3677441406249997
2,FTI,3.635,2.27,5.0,0.695,844.466,-2.3677441406249997
3,RP,0.126,-0.438,0.69,0.274,25.881,-2.3677441406249997
0,Hit,1.501,0.477,2.525,0.519,230.928,-2.357744140625
1,Miss,1.043,0.247,1.839,0.4,88.065,-2.357744140625
2,FTI,3.732,2.371,5.093,0.693,735.79,-2.357744140625
3,RP,0.103,-0.483,0.688,0.284,25.346,-2.357744140625
0,Hit,1.312,0.29,2.333,0.518,207.832,-2.3477441406249997
1,Miss,0.88,0.079,1.681,0.403,81.044,-2.3477441406249997
2,FTI,3.426,2.078,4.774,0.687,645.259,-2.3477441406249997
3,RP,0.083,-0.518,0.684,0.292,24.687,-2.3477441406249997
0,Hit,1.348,0.344,2.353,0.51,218.252,-2.3377441406249995
1,Miss,0.76,-0.024,1.543,0.394,83.811,-2.3377441406249995
2,FTI,3.091,1.759,4.423,0.678,690.944,-2.3377441406249995
3,RP,0.208,-0.373,0.789,0.282,24.61,-2.3377441406249995
0,Hit,1.426,0.437,2.416,0.502,261.684,-2.3277441406249997
1,Miss,0.819,0.06,1.578,0.382,96.861,-2.3277441406249997
2,FTI,3.001,1.673,4.33,0.677,871.044,-2.3277441406249997
