index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
2,Hit - RP,1.431,0.024,2.838,0.533,2612.38,2.685,0.044,*,-2.4377441406249996
3,Miss - FTI,-2.141,-4.179,-0.104,0.772,3278.08,-2.774,0.033,*,-2.4377441406249996
4,Miss - RP,0.774,-0.303,1.85,0.408,1916.99,1.898,0.347,,-2.4377441406249996
5,FTI - RP,2.915,1.026,4.803,0.715,3297.822,4.074,0.0,***,-2.4377441406249996
0,Hit - Miss,0.428,-1.125,1.98,0.588,3130.649,0.727,1.0,,-2.4277441406249993
1,Hit - FTI,-1.793,-3.999,0.413,0.836,3232.501,-2.145,0.192,,-2.4277441406249993
2,Hit - RP,0.949,-0.436,2.334,0.525,2715.07,1.808,0.424,,-2.4277441406249993
3,Miss - FTI,-2.22,-4.223,-0.217,0.759,3283.555,-2.926,0.021,*,-2.4277441406249993
4,Miss - RP,0.521,-0.54,1.582,0.402,2060.288,1.298,1.0,,-2.4277441406249993
5,FTI - RP,2.741,0.885,4.598,0.703,3298.0,3.898,0.001,***,-2.4277441406249993
0,Hit - Miss,0.178,-1.359,1.715,0.582,3123.623,0.305,1.0,,-2.4177441406249995
1,Hit - FTI,-2.37,-4.553,-0.186,0.827,3229.279,-2.865,0.025,*,-2.4177441406249995
2,Hit - RP,0.56,-0.811,1.931,0.519,2697.175,1.078,1.0,,-2.4177441406249995
3,Miss - FTI,-2.547,-4.53,-0.564,0.751,3282.642,-3.391,0.004,**,-2.4177441406249995
4,Miss - RP,0.382,-0.668,1.432,0.398,2034.474,0.961,1.0,,-2.4177441406249995
5,FTI - RP,2.929,1.091,4.767,0.696,3297.992,4.208,0.0,***,-2.4177441406249995
0,Hit - Miss,0.331,-1.207,1.869,0.583,3123.351,0.568,1.0,,-2.4077441406249998
1,Hit - FTI,-2.129,-4.315,0.057,0.828,3229.138,-2.572,0.061,.,-2.4077441406249998
2,Hit - RP,0.789,-0.583,2.162,0.52,2696.624,1.519,0.774,,-2.4077441406249998
3,Miss - FTI,-2.46,-4.445,-0.475,0.752,3282.594,-3.272,0.006,**,-2.4077441406249998
4,Miss - RP,0.458,-0.592,1.509,0.398,2033.826,1.152,1.0,,-2.4077441406249998
5,FTI - RP,2.918,1.079,4.758,0.697,3297.991,4.188,0.0,***,-2.4077441406249998
0,Hit - Miss,0.615,-0.915,2.144,0.579,3145.539,1.061,1.0,,-2.3977441406249995
1,Hit - FTI,-1.671,-3.844,0.502,0.823,3239.185,-2.03,0.255,,-2.3977441406249995
2,Hit - RP,1.217,-0.148,2.582,0.517,2754.57,2.353,0.112,,-2.3977441406249995
3,Miss - FTI,-2.286,-4.259,-0.313,0.747,3285.395,-3.058,0.013,*,-2.3977441406249995
4,Miss - RP,0.602,-0.444,1.648,0.396,2119.531,1.52,0.772,,-2.3977441406249995
5,FTI - RP,2.887,1.059,4.716,0.693,3297.986,4.169,0.0,***,-2.3977441406249995
0,Hit - Miss,0.579,-0.939,2.097,0.575,3149.955,1.007,1.0,,-2.3877441406249993
1,Hit - FTI,-1.88,-4.037,0.276,0.817,3241.033,-2.302,0.128,,-2.3877441406249993
2,Hit - RP,1.347,-0.008,2.701,0.513,2767.563,2.624,0.052,.,-2.3877441406249993
3,Miss - FTI,-2.459,-4.418,-0.501,0.742,3285.845,-3.316,0.006,**,-2.3877441406249993
4,Miss - RP,0.768,-0.27,1.805,0.393,2140.574,1.953,0.306,,-2.3877441406249993
5,FTI - RP,3.227,1.413,5.041,0.687,3297.981,4.695,0.0,***,-2.3877441406249993
0,Hit - Miss,0.605,-0.917,2.127,0.577,3127.143,1.049,1.0,,-2.3777441406249995
1,Hit - FTI,-1.967,-4.13,0.195,0.819,3230.626,-2.402,0.098,.,-2.3777441406249995
2,Hit - RP,1.461,0.103,2.818,0.514,2708.417,2.841,0.027,*,-2.3777441406249995
3,Miss - FTI,-2.572,-4.536,-0.608,0.744,3282.904,-3.457,0.003,**,-2.3777441406249995
4,Miss - RP,0.856,-0.183,1.896,0.394,2053.048,2.175,0.178,,-2.3777441406249995
5,FTI - RP,3.428,1.608,5.248,0.689,3297.989,4.972,0.0,***,-2.3777441406249995
0,Hit - Miss,0.669,-0.855,2.193,0.577,3108.775,1.158,1.0,,-2.3677441406249997
