index,condition,Estimate,ci_low,ci_high,SE,DF,time
3,RP,0.086,-0.129,0.301,0.11,3298.0,-2.217744140625
0,Hit,-0.059,-0.61,0.492,0.281,3298.0,-2.207744140625
1,Miss,-0.378,-0.766,0.01,0.198,3298.0,-2.207744140625
2,FTI,0.056,-0.736,0.848,0.404,3298.0,-2.207744140625
3,RP,0.112,-0.103,0.327,0.11,3298.0,-2.207744140625
0,Hit,-0.545,-1.098,0.007,0.282,3298.0,-2.197744140625
1,Miss,-0.403,-0.792,-0.014,0.198,3298.0,-2.197744140625
2,FTI,0.374,-0.419,1.168,0.405,3298.0,-2.197744140625
3,RP,0.074,-0.141,0.29,0.11,3298.0,-2.197744140625
0,Hit,-0.526,-1.082,0.031,0.284,3298.0,-2.187744140625
1,Miss,-0.133,-0.525,0.259,0.2,3298.0,-2.187744140625
2,FTI,0.543,-0.257,1.342,0.408,3298.0,-2.187744140625
3,RP,-0.133,-0.35,0.085,0.111,3298.0,-2.187744140625
0,Hit,-0.31,-0.871,0.252,0.286,498.503,-2.1777441406249998
1,Miss,0.181,-0.217,0.579,0.202,195.356,-2.1777441406249998
2,FTI,0.597,-0.207,1.4,0.41,2205.873,-2.1777441406249998
3,RP,-0.205,-0.432,0.023,0.112,37.68,-2.1777441406249998
0,Hit,-0.481,-1.037,0.074,0.283,3298.0,-2.1677441406249995
1,Miss,0.039,-0.353,0.43,0.2,3298.0,-2.1677441406249995
2,FTI,0.875,0.077,1.672,0.407,3298.0,-2.1677441406249995
3,RP,-0.093,-0.309,0.124,0.111,3298.0,-2.1677441406249995
0,Hit,-0.672,-1.256,-0.088,0.297,476.723,-2.157744140625
1,Miss,-0.148,-0.565,0.268,0.211,181.897,-2.157744140625
2,FTI,0.98,0.148,1.812,0.424,2085.84,-2.157744140625
3,RP,-0.09,-0.333,0.152,0.119,35.119,-2.157744140625
0,Hit,-0.405,-0.992,0.181,0.299,3298.0,-2.1477441406249995
1,Miss,-0.164,-0.577,0.249,0.211,3298.0,-2.1477441406249995
2,FTI,0.555,-0.287,1.398,0.43,3298.0,-2.1477441406249995
3,RP,-0.069,-0.297,0.16,0.117,3298.0,-2.1477441406249995
0,Hit,-0.144,-0.728,0.44,0.298,3298.0,-2.1377441406249997
1,Miss,-0.306,-0.718,0.105,0.21,3298.0,-2.1377441406249997
2,FTI,0.339,-0.5,1.177,0.428,3298.0,-2.1377441406249997
3,RP,0.039,-0.189,0.267,0.116,3298.0,-2.1377441406249997
0,Hit,-0.27,-0.86,0.32,0.301,3298.0,-2.1277441406249995
1,Miss,-0.348,-0.764,0.067,0.212,3298.0,-2.1277441406249995
2,FTI,0.165,-0.682,1.013,0.432,3298.0,-2.1277441406249995
3,RP,0.012,-0.219,0.242,0.117,3298.0,-2.1277441406249995
0,Hit,-0.304,-0.914,0.306,0.311,488.431,-2.117744140625
1,Miss,-0.179,-0.617,0.259,0.222,182.572,-2.117744140625
2,FTI,-0.276,-1.139,0.587,0.44,1998.535,-2.117744140625
3,RP,-0.122,-0.383,0.139,0.129,35.72,-2.117744140625
0,Hit,-0.29,-0.891,0.31,0.306,3298.0,-2.107744140625
1,Miss,-0.088,-0.511,0.335,0.216,3298.0,-2.107744140625
2,FTI,-0.2,-1.062,0.663,0.44,3298.0,-2.107744140625
3,RP,-0.09,-0.324,0.145,0.12,3298.0,-2.107744140625
0,Hit,-0.341,-0.953,0.27,0.312,3298.0,-2.097744140625
1,Miss,-0.012,-0.443,0.418,0.22,3298.0,-2.097744140625
2,FTI,0.174,-0.704,1.053,0.448,3298.0,-2.097744140625
3,RP,-0.014,-0.253,0.224,0.122,3298.0,-2.097744140625
0,Hit,-0.253,-0.865,0.359,0.312,3298.0,-2.0877441406249995
1,Miss,-0.196,-0.628,0.235,0.22,3298.0,-2.0877441406249995
2,FTI,0.265,-0.615,1.144,0.449,3298.0,-2.0877441406249995
3,RP,-0.143,-0.382,0.096,0.122,3298.0,-2.0877441406249995
0,Hit,-0.061,-0.678,0.555,0.314,3298.0,-2.077744140625
1,Miss,-0.371,-0.805,0.064,0.222,3298.0,-2.077744140625
2,FTI,0.446,-0.44,1.331,0.452,3298.0,-2.077744140625
3,RP,-0.312,-0.553,-0.072,0.123,3298.0,-2.077744140625
0,Hit,0.019,-0.607,0.644,0.319,3298.0,-2.067744140625
1,Miss,-0.057,-0.498,0.384,0.225,3298.0,-2.067744140625
2,FTI,0.712,-0.187,1.611,0.458,3298.0,-2.067744140625
3,RP,-0.292,-0.536,-0.047,0.125,3298.0,-2.067744140625
