condition,isprobe,isfti,wait_times,probe_times,fti_time,subject,brief,event_times
FTI,1,1,,3.7844348999788053,0.1293164000089746,33708,False,3.7844348999788053
RP,0,0,3.3780208000098355,,,33708,True,3.3780208000098355
RP,0,0,3.959588800003985,,,33708,False,3.959588800003985
RP,0,0,2.4874362000264227,,,33708,True,2.4874362000264227
RP,0,0,4.571668499993393,,,33708,False,4.571668499993393
Hit,1,0,,2.4679475000011735,,33708,False,2.4679475000011735
RP,0,0,2.5632805999775883,,,33708,True,2.5632805999775883
RP,0,0,4.30415769998217,,,33708,False,4.30415769998217
RP,0,0,3.4234695000050124,,,33708,True,3.4234695000050124
Hit,1,0,,3.589616900018882,,33708,False,3.589616900018882
RP,0,0,4.165507700003218,,,33708,False,4.165507700003218
RP,0,0,4.4320367999898735,,,33708,False,4.4320367999898735
Hit,1,0,,5.104496699990705,,33708,False,5.104496699990705
RP,0,0,3.6767277999897487,,,33708,False,3.6767277999897487
RP,0,0,3.7993184000079054,,,33708,False,3.7993184000079054
Hit,1,0,,3.9977569000038784,,33708,False,3.9977569000038784
RP,0,0,3.0902101999963634,,,33708,True,3.0902101999963634
RP,0,0,3.127538700005971,,,33708,True,3.127538700005971
RP,0,0,3.5919167999818455,,,33708,True,3.5919167999818455
RP,0,0,3.1254266000178177,,,33708,True,3.1254266000178177
FTI,1,1,,4.233906500012381,0.07833089999621734,33708,False,4.233906500012381
RP,0,0,3.8845300000102725,,,33708,False,3.8845300000102725
RP,0,0,4.85487280000234,,,33708,False,4.85487280000234
RP,0,0,4.320364300016081,,,33708,False,4.320364300016081
RP,0,0,3.712203499977477,,,33708,False,3.712203499977477
RP,0,0,7.511867799999891,,,33708,False,7.511867799999891
RP,0,0,4.693119300005492,,,33708,False,4.693119300005492
RP,0,0,4.224405499990098,,,33708,False,4.224405499990098
Hit,1,0,,3.763243000023067,,33708,False,3.763243000023067
RP,0,0,4.132424199982779,,,33708,False,4.132424199982779
Hit,1,0,,2.8199389999790583,,33708,False,2.8199389999790583
RP,0,0,4.035083499999018,,,33708,False,4.035083499999018
RP,0,0,1.288243799994234,,,33708,True,1.288243799994234
RP,0,0,4.426947799976915,,,33708,False,4.426947799976915
Hit,1,0,,3.6458244000095874,,33708,False,3.6458244000095874
RP,0,0,3.9620566999947187,,,33708,False,3.9620566999947187
Hit,1,0,,3.6973980000184383,,33708,False,3.6973980000184383
RP,0,0,3.7096725000010338,,,33708,False,3.7096725000010338
RP,0,0,3.687744399998337,,,33708,False,3.687744399998337
RP,0,0,3.4433685000112746,,,33708,True,3.4433685000112746
RP,0,0,3.439756000007037,,,33708,True,3.439756000007037
RP,0,0,0.5354221999878064,,,33708,True,0.5354221999878064
RP,0,0,3.9163570000091568,,,33708,False,3.9163570000091568
RP,0,0,4.083753199985949,,,33708,False,4.083753199985949
RP,0,0,3.6234615000139456,,,33708,True,3.6234615000139456
RP,0,0,3.6472673999960534,,,33708,True,3.6472673999960534
RP,0,0,3.9674555999808945,,,33708,False,3.9674555999808945
RP,0,0,3.423894100007601,,,33708,True,3.423894100007601
RP,0,0,4.239202099997783,,,33708,False,4.239202099997783
RP,0,0,3.5205497999850195,,,33708,True,3.5205497999850195
RP,0,0,3.815031000005547,,,33708,False,3.815031000005547
Hit,1,0,,3.652434500021627,,33708,False,3.652434500021627
RP,0,0,3.864975399977993,,,33708,False,3.864975399977993
