index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
2,Miss - RP,-0.591,-1.509,0.327,0.383,879.054,-1.543,0.369,,1.2122558593750004
0,Hit - Miss,0.584,-0.641,1.809,0.512,2880.759,1.142,0.76,,1.222255859375
1,Hit - RP,-0.035,-1.07,1.0,0.432,2258.47,-0.08,1.0,,1.222255859375
2,Miss - RP,-0.619,-1.55,0.312,0.388,1042.025,-1.594,0.333,,1.222255859375
0,Hit - Miss,-0.029,-1.25,1.191,0.51,2915.661,-0.058,1.0,,1.2322558593750008
1,Hit - RP,-0.463,-1.495,0.568,0.431,2324.691,-1.076,0.846,,1.2322558593750008
2,Miss - RP,-0.434,-1.362,0.495,0.387,1102.936,-1.12,0.789,,1.2322558593750008
0,Hit - Miss,-0.439,-1.649,0.771,0.505,3000.647,-0.869,1.0,,1.2422558593750006
1,Hit - RP,-0.686,-1.71,0.338,0.428,2492.516,-1.605,0.326,,1.2422558593750006
2,Miss - RP,-0.247,-1.173,0.678,0.386,1268.399,-0.64,1.0,,1.2422558593750006
0,Hit - Miss,-0.161,-1.374,1.053,0.507,3018.333,-0.317,1.0,,1.2522558593750004
1,Hit - RP,-0.567,-1.595,0.461,0.429,2528.255,-1.322,0.559,,1.2522558593750004
2,Miss - RP,-0.407,-1.336,0.523,0.388,1305.306,-1.048,0.884,,1.2522558593750004
0,Hit - Miss,0.045,-1.168,1.257,0.506,2997.925,0.088,1.0,,1.2622558593750002
1,Hit - RP,-0.537,-1.563,0.489,0.428,2486.049,-1.253,0.631,,1.2622558593750002
2,Miss - RP,-0.581,-1.508,0.346,0.387,1259.336,-1.502,0.4,,1.2622558593750002
0,Hit - Miss,-0.26,-1.465,0.945,0.503,3024.594,-0.517,1.0,,1.272255859375
1,Hit - RP,-0.677,-1.698,0.343,0.426,2542.868,-1.589,0.336,,1.272255859375
2,Miss - RP,-0.417,-1.34,0.506,0.385,1325.354,-1.083,0.837,,1.272255859375
0,Hit - Miss,-0.458,-1.669,0.752,0.505,2935.473,-0.907,1.0,,1.2822558593750006
1,Hit - RP,-0.835,-1.858,0.189,0.427,2361.644,-1.954,0.152,,1.2822558593750006
2,Miss - RP,-0.376,-1.299,0.546,0.385,1134.561,-0.978,0.985,,1.2822558593750006
0,Hit - Miss,-0.388,-1.59,0.815,0.502,2801.95,-0.772,1.0,,1.2922558593750004
1,Hit - RP,-0.856,-1.871,0.159,0.424,2118.216,-2.021,0.13,,1.2922558593750004
2,Miss - RP,-0.468,-1.379,0.442,0.379,928.159,-1.234,0.652,,1.2922558593750004
0,Hit - Miss,-0.412,-1.6,0.776,0.496,2952.754,-0.83,1.0,,1.3022558593750002
1,Hit - RP,-0.764,-1.769,0.241,0.419,2395.655,-1.821,0.206,,1.3022558593750002
2,Miss - RP,-0.352,-1.259,0.554,0.378,1167.914,-0.932,1.0,,1.3022558593750002
0,Hit - Miss,-0.576,-1.741,0.589,0.487,3027.717,-1.184,0.71,,1.312255859375
1,Hit - RP,-0.748,-1.734,0.239,0.412,2550.291,-1.815,0.209,,1.312255859375
2,Miss - RP,-0.172,-1.064,0.721,0.372,1335.893,-0.461,1.0,,1.312255859375
0,Hit - Miss,-0.806,-1.974,0.361,0.487,2996.765,-1.655,0.294,,1.322255859375001
1,Hit - RP,-0.824,-1.812,0.164,0.412,2484.982,-1.999,0.137,,1.322255859375001
2,Miss - RP,-0.018,-0.91,0.875,0.372,1261.401,-0.048,1.0,,1.322255859375001
0,Hit - Miss,-0.971,-2.147,0.204,0.491,3016.667,-1.98,0.143,,1.3322558593750005
1,Hit - RP,-0.7,-1.695,0.295,0.415,2526.307,-1.685,0.276,,1.3322558593750005
2,Miss - RP,0.271,-0.628,1.171,0.375,1306.856,0.723,1.0,,1.3322558593750005
0,Hit - Miss,-0.949,-2.108,0.21,0.484,3010.279,-1.961,0.15,,1.3422558593750002
1,Hit - RP,-0.439,-1.42,0.542,0.41,2512.799,-1.072,0.851,,1.3422558593750002
2,Miss - RP,0.509,-0.378,1.396,0.37,1291.386,1.377,0.506,,1.3422558593750002
0,Hit - Miss,-0.777,-1.922,0.367,0.478,2983.547,-1.627,0.312,,1.352255859375
