index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
1,Miss,-1.882,-2.886,-0.877,0.506,91.427,0.7322558593750008
2,RP,-0.935,-1.676,-0.194,0.361,26.731,0.7322558593750008
0,Hit,-0.093,-1.172,0.986,0.546,151.25,0.7422558593750006
1,Miss,-1.723,-2.707,-0.738,0.496,97.18,0.7422558593750006
2,RP,-0.949,-1.665,-0.234,0.349,27.214,0.7422558593750006
0,Hit,0.023,-1.016,1.062,0.527,187.495,0.7522558593750004
1,Miss,-1.739,-2.678,-0.8,0.474,114.0,0.7522558593750004
2,RP,-1.001,-1.657,-0.345,0.321,28.698,0.7522558593750004
0,Hit,-0.036,-1.063,0.99,0.521,214.515,0.7622558593750002
1,Miss,-1.761,-2.684,-0.838,0.466,125.954,0.7622558593750002
2,RP,-1.046,-1.674,-0.417,0.308,29.938,0.7622558593750002
0,Hit,-0.173,-1.198,0.852,0.52,231.051,0.772255859375
1,Miss,-1.591,-2.509,-0.673,0.464,132.426,0.772255859375
2,RP,-0.984,-1.599,-0.368,0.302,30.39,0.772255859375
0,Hit,-0.145,-1.176,0.887,0.523,206.318,0.7822558593750006
1,Miss,-1.507,-2.435,-0.579,0.469,121.254,0.7822558593750006
2,RP,-0.878,-1.511,-0.244,0.31,28.874,0.7822558593750006
0,Hit,-0.099,-1.146,0.948,0.53,167.855,0.7922558593750004
1,Miss,-1.47,-2.421,-0.52,0.479,104.32,0.7922558593750004
2,RP,-0.759,-1.433,-0.084,0.329,27.341,0.7922558593750004
0,Hit,-0.088,-1.119,0.943,0.523,189.047,0.8022558593750002
1,Miss,-1.356,-2.287,-0.424,0.47,114.342,0.8022558593750002
2,RP,-0.541,-1.189,0.108,0.317,28.527,0.8022558593750002
0,Hit,-0.106,-1.11,0.897,0.509,232.051,0.812255859375
1,Miss,-1.319,-2.218,-0.42,0.455,132.809,0.812255859375
2,RP,-0.44,-1.042,0.162,0.295,30.418,0.812255859375
0,Hit,-0.17,-1.167,0.827,0.506,218.45,0.8222558593750007
1,Miss,-1.353,-2.248,-0.457,0.453,127.047,0.8222558593750007
2,RP,-0.632,-1.238,-0.025,0.297,29.774,0.8222558593750007
0,Hit,-0.192,-1.183,0.8,0.503,200.989,0.8322558593750005
1,Miss,-1.234,-2.127,-0.34,0.451,119.61,0.8322558593750005
2,RP,-0.782,-1.396,-0.167,0.301,29.045,0.8322558593750005
0,Hit,-0.187,-1.187,0.814,0.507,189.056,0.8422558593750002
1,Miss,-1.15,-2.054,-0.246,0.456,114.086,0.8422558593750002
2,RP,-0.666,-1.295,-0.038,0.307,28.355,0.8422558593750002
0,Hit,-0.242,-1.246,0.763,0.509,184.691,0.852255859375
1,Miss,-1.338,-2.246,-0.431,0.458,111.752,0.852255859375
2,RP,-0.589,-1.221,0.044,0.309,27.907,0.852255859375
0,Hit,-0.47,-1.441,0.501,0.493,217.244,0.8622558593750007
1,Miss,-1.504,-2.376,-0.633,0.44,125.636,0.8622558593750007
2,RP,-0.588,-1.176,0.001,0.288,29.209,0.8622558593750007
0,Hit,-0.655,-1.591,0.281,0.475,270.586,0.8722558593750005
1,Miss,-1.423,-2.254,-0.593,0.42,145.433,0.8722558593750005
2,RP,-0.521,-1.056,0.014,0.262,30.91,0.8722558593750005
0,Hit,-0.693,-1.628,0.241,0.475,310.922,0.8822558593750003
1,Miss,-1.377,-2.2,-0.554,0.416,157.563,0.8822558593750003
2,RP,-0.543,-1.054,-0.032,0.251,31.828,0.8822558593750003
0,Hit,-0.808,-1.729,0.112,0.468,350.794,0.8922558593750001
1,Miss,-1.555,-2.359,-0.751,0.407,169.15,0.8922558593750001
2,RP,-0.561,-1.045,-0.077,0.238,33.189,0.8922558593750001
0,Hit,-0.919,-1.837,-0.0,0.467,329.368,0.9022558593750007
1,Miss,-1.697,-2.503,-0.892,0.408,163.485,0.9022558593750007
2,RP,-0.477,-0.971,0.017,0.243,32.578,0.9022558593750007
0,Hit,-0.906,-1.836,0.025,0.473,290.336,0.9122558593750004
1,Miss,-1.541,-2.363,-0.718,0.416,151.474,0.9122558593750004
2,RP,-0.567,-1.087,-0.047,0.255,31.307,0.9122558593750004
0,Hit,-0.865,-1.802,0.071,0.476,269.525,0.9222558593750004
1,Miss,-1.256,-2.088,-0.425,0.421,145.381,0.9222558593750004
2,RP,-0.763,-1.3,-0.227,0.263,31.012,0.9222558593750004
0,Hit,-0.704,-1.63,0.221,0.47,263.163,0.932255859375
1,Miss,-1.128,-1.952,-0.304,0.417,144.418,0.932255859375
2,RP,-0.815,-1.352,-0.279,0.263,31.383,0.932255859375
0,Hit,-0.567,-1.47,0.335,0.459,275.771,0.9422558593750008
1,Miss,-1.1,-1.902,-0.298,0.406,149.459,0.9422558593750008
2,RP,-0.807,-1.325,-0.289,0.254,32.036,0.9422558593750008
0,Hit,-0.748,-1.663,0.167,0.465,241.306,0.9522558593750006
1,Miss,-0.985,-1.802,-0.168,0.413,135.427,0.9522558593750006
2,RP,-0.771,-1.312,-0.23,0.265,30.234,0.9522558593750006
0,Hit,-0.802,-1.752,0.148,0.482,192.237,0.9622558593750004
1,Miss,-0.764,-1.62,0.092,0.432,114.139,0.9622558593750004
2,RP,-0.663,-1.253,-0.074,0.288,27.631,0.9622558593750004
0,Hit,-0.531,-1.471,0.408,0.477,210.099,0.972255859375
1,Miss,-0.757,-1.6,0.087,0.426,121.678,0.972255859375
2,RP,-0.61,-1.181,-0.039,0.279,28.357,0.972255859375
0,Hit,-0.448,-1.352,0.457,0.46,278.66,0.9822558593750008
1,Miss,-1.02,-1.822,-0.217,0.406,148.643,0.9822558593750008
2,RP,-0.76,-1.273,-0.246,0.252,31.354,0.9822558593750008
0,Hit,-0.512,-1.413,0.389,0.458,271.975,0.9922558593750006
1,Miss,-1.066,-1.865,-0.266,0.404,145.025,0.9922558593750006
2,RP,-0.841,-1.354,-0.329,0.251,30.582,0.9922558593750006
0,Hit,-0.434,-1.351,0.483,0.466,225.863,1.0022558593750004
1,Miss,-0.798,-1.619,0.022,0.415,127.45,1.0022558593750004
2,RP,-0.698,-1.244,-0.152,0.267,28.663,1.0022558593750004
0,Hit,-0.372,-1.286,0.542,0.464,226.558,1.0122558593750002
1,Miss,-0.677,-1.495,0.142,0.414,129.047,1.0122558593750002
2,RP,-0.599,-1.147,-0.052,0.268,29.376,1.0122558593750002
0,Hit,-0.469,-1.379,0.44,0.462,250.173,1.022255859375
1,Miss,-0.784,-1.595,0.027,0.41,138.533,1.022255859375
2,RP,-0.569,-1.101,-0.037,0.261,30.425,1.022255859375
0,Hit,-0.6,-1.504,0.303,0.458,241.951,1.0322558593750006
1,Miss,-0.869,-1.674,-0.064,0.407,133.672,1.0322558593750006
2,RP,-0.518,-1.047,0.01,0.259,29.286,1.0322558593750006
0,Hit,-0.647,-1.523,0.229,0.445,258.257,1.0422558593750004
1,Miss,-0.859,-1.637,-0.081,0.394,139.266,1.0422558593750004
2,RP,-0.524,-1.027,-0.021,0.246,29.705,1.0422558593750004
0,Hit,-0.557,-1.395,0.28,0.426,358.076,1.0522558593750002
1,Miss,-0.884,-1.615,-0.152,0.371,172.746,1.0522558593750002
2,RP,-0.587,-1.027,-0.146,0.217,33.913,1.0522558593750002
0,Hit,-0.424,-1.271,0.422,0.43,342.752,1.062255859375
1,Miss,-0.934,-1.674,-0.195,0.375,165.063,1.062255859375
2,RP,-0.611,-1.057,-0.165,0.219,32.355,1.062255859375
0,Hit,-0.465,-1.358,0.427,0.453,250.079,1.072255859375001
1,Miss,-0.979,-1.772,-0.186,0.401,134.84,1.072255859375001
2,RP,-0.52,-1.034,-0.007,0.251,28.761,1.072255859375001
0,Hit,-0.663,-1.554,0.227,0.452,252.281,1.0822558593750005
1,Miss,-1.064,-1.856,-0.271,0.401,137.267,1.0822558593750005
2,RP,-0.388,-0.904,0.127,0.252,29.559,1.0822558593750005
0,Hit,-0.784,-1.618,0.05,0.424,367.58,1.0922558593750002
1,Miss,-1.113,-1.84,-0.386,0.369,175.874,1.0922558593750002
2,RP,-0.399,-0.834,0.036,0.214,34.408,1.0922558593750002
0,Hit,-0.809,-1.616,-0.001,0.411,420.406,1.102255859375
1,Miss,-1.189,-1.887,-0.491,0.354,190.055,1.102255859375
2,RP,-0.501,-0.903,-0.099,0.198,36.648,1.102255859375
0,Hit,-0.907,-1.729,-0.085,0.418,345.699,1.1122558593750007
1,Miss,-1.209,-1.928,-0.49,0.364,167.665,1.1122558593750007
2,RP,-0.559,-0.993,-0.124,0.214,32.987,1.1122558593750007
0,Hit,-1.119,-1.946,-0.291,0.421,320.217,1.1222558593750005
1,Miss,-1.181,-1.909,-0.454,0.368,160.823,1.1222558593750005
2,RP,-0.478,-0.927,-0.029,0.221,32.288,1.1222558593750005
0,Hit,-1.316,-2.128,-0.503,0.413,326.866,1.1322558593750005
1,Miss,-1.128,-1.839,-0.416,0.36,159.522,1.1322558593750005
2,RP,-0.404,-0.837,0.029,0.212,31.469,1.1322558593750005
0,Hit,-1.415,-2.236,-0.594,0.417,292.465,1.142255859375
1,Miss,-1.016,-1.739,-0.293,0.366,148.418,1.142255859375
2,RP,-0.472,-0.923,-0.021,0.221,30.004,1.142255859375
0,Hit,-1.411,-2.243,-0.579,0.422,259.745,1.1522558593750007
1,Miss,-0.987,-1.727,-0.248,0.374,140.834,1.1522558593750007
2,RP,-0.51,-0.989,-0.03,0.235,30.21,1.1522558593750007
0,Hit,-1.354,-2.205,-0.504,0.432,215.179,1.1622558593750003
1,Miss,-1.032,-1.796,-0.269,0.386,124.365,1.1622558593750003
2,RP,-0.484,-1.0,0.032,0.252,28.892,1.1622558593750003
0,Hit,-1.126,-1.981,-0.271,0.434,209.333,1.1722558593750003
1,Miss,-1.103,-1.872,-0.335,0.388,121.731,1.1722558593750003
2,RP,-0.508,-1.03,0.013,0.255,28.536,1.1722558593750003
0,Hit,-0.797,-1.63,0.035,0.423,245.922,1.182255859375
1,Miss,-1.157,-1.899,-0.414,0.376,136.556,1.182255859375
2,RP,-0.469,-0.957,0.019,0.239,30.092,1.182255859375
0,Hit,-0.691,-1.487,0.105,0.404,301.574,1.1922558593750008
1,Miss,-1.068,-1.771,-0.366,0.356,156.711,1.1922558593750008
2,RP,-0.413,-0.855,0.03,0.217,32.28,1.1922558593750008
0,Hit,-0.689,-1.462,0.085,0.393,326.546,1.2022558593750006
1,Miss,-0.97,-1.649,-0.291,0.344,162.176,1.2022558593750006
2,RP,-0.433,-0.85,-0.017,0.205,32.326,1.2022558593750006
0,Hit,-0.47,-1.244,0.305,0.394,344.073,1.2122558593750004
1,Miss,-1.028,-1.706,-0.351,0.343,167.134,1.2122558593750004
2,RP,-0.437,-0.847,-0.027,0.201,32.908,1.2122558593750004
0,Hit,-0.437,-1.227,0.353,0.402,326.335,1.222255859375
1,Miss,-1.021,-1.717,-0.326,0.352,165.325,1.222255859375
2,RP,-0.402,-0.833,0.028,0.212,33.397,1.222255859375
0,Hit,-0.844,-1.635,-0.054,0.402,321.46,1.2322558593750008
1,Miss,-0.815,-1.512,-0.118,0.353,165.135,1.2322558593750008
2,RP,-0.381,-0.816,0.054,0.214,33.705,1.2322558593750008
0,Hit,-1.103,-1.9,-0.306,0.405,271.232,1.2422558593750006
1,Miss,-0.664,-1.371,0.044,0.358,146.25,1.2422558593750006
2,RP,-0.417,-0.873,0.039,0.224,31.185,1.2422558593750006
0,Hit,-0.965,-1.769,-0.162,0.408,251.757,1.2522558593750004
1,Miss,-0.805,-1.52,-0.089,0.362,137.663,1.2522558593750004
2,RP,-0.398,-0.864,0.068,0.228,29.805,1.2522558593750004
0,Hit,-0.868,-1.666,-0.069,0.406,265.76,1.2622558593750002
1,Miss,-0.912,-1.622,-0.203,0.359,143.383,1.2622558593750002
2,RP,-0.331,-0.789,0.127,0.224,30.595,1.2622558593750002
0,Hit,-0.974,-1.771,-0.176,0.405,258.796,1.272255859375
1,Miss,-0.714,-1.424,-0.004,0.359,141.577,1.272255859375
2,RP,-0.297,-0.759,0.165,0.226,30.663,1.272255859375
0,Hit,-1.022,-1.809,-0.234,0.4,301.354,1.2822558593750006
1,Miss,-0.563,-1.259,0.132,0.352,156.845,1.2822558593750006
2,RP,-0.187,-0.625,0.251,0.215,32.351,1.2822558593750006
0,Hit,-1.002,-1.771,-0.233,0.391,348.494,1.2922558593750004
1,Miss,-0.614,-1.287,0.059,0.341,170.995,1.2922558593750004
2,RP,-0.146,-0.555,0.263,0.201,33.86,1.2922558593750004
0,Hit,-1.03,-1.805,-0.255,0.394,295.262,1.3022558593750002
1,Miss,-0.618,-1.304,0.067,0.347,154.98,1.3022558593750002
2,RP,-0.266,-0.7,0.168,0.213,32.202,1.3022558593750002
0,Hit,-1.06,-1.831,-0.289,0.392,263.203,1.312255859375
1,Miss,-0.484,-1.17,0.202,0.347,143.987,1.312255859375
2,RP,-0.312,-0.758,0.134,0.219,31.181,1.312255859375
0,Hit,-1.114,-1.882,-0.347,0.39,277.538,1.322255859375001
1,Miss,-0.308,-0.989,0.373,0.345,149.111,1.322255859375001
2,RP,-0.29,-0.728,0.148,0.215,31.676,1.322255859375001
0,Hit,-1.131,-1.907,-0.355,0.394,265.031,1.3322558593750005
1,Miss,-0.16,-0.85,0.531,0.349,144.188,1.3322558593750005
2,RP,-0.431,-0.878,0.017,0.219,31.037,1.3322558593750005
0,Hit,-1.076,-1.84,-0.311,0.388,267.837,1.3422558593750002
1,Miss,-0.127,-0.806,0.552,0.344,145.177,1.3422558593750002
2,RP,-0.637,-1.076,-0.197,0.216,31.126,1.3422558593750002
0,Hit,-0.956,-1.708,-0.205,0.382,276.262,1.352255859375
1,Miss,-0.179,-0.845,0.488,0.337,147.663,1.352255859375
2,RP,-0.683,-1.11,-0.255,0.21,31.209,1.352255859375
0,Hit,-0.783,-1.541,-0.025,0.385,255.089,1.3622558593750007
1,Miss,-0.25,-0.926,0.425,0.342,140.642,1.3622558593750007
2,RP,-0.679,-1.12,-0.237,0.217,30.73,1.3622558593750007
0,Hit,-0.597,-1.361,0.167,0.388,256.136,1.3722558593750005
1,Miss,-0.439,-1.12,0.242,0.345,142.015,1.3722558593750005
2,RP,-0.767,-1.214,-0.32,0.219,31.231,1.3722558593750005
0,Hit,-0.565,-1.311,0.181,0.379,306.793,1.3822558593750005
1,Miss,-0.681,-1.339,-0.023,0.333,158.722,1.3822558593750005
2,RP,-0.868,-1.281,-0.455,0.203,32.576,1.3822558593750005
0,Hit,-0.547,-1.281,0.186,0.373,335.077,1.392255859375
1,Miss,-0.724,-1.369,-0.08,0.326,167.562,1.392255859375
2,RP,-0.855,-1.251,-0.459,0.195,33.555,1.392255859375
0,Hit,-0.3,-1.035,0.435,0.374,317.163,1.4022558593750007
1,Miss,-0.621,-1.269,0.028,0.328,163.708,1.4022558593750007
2,RP,-0.747,-1.153,-0.341,0.2,33.539,1.4022558593750007
0,Hit,-0.277,-1.033,0.48,0.384,244.023,1.4122558593750003
1,Miss,-0.57,-1.246,0.105,0.342,136.683,1.4122558593750003
2,RP,-0.71,-1.156,-0.264,0.219,30.438,1.4122558593750003
0,Hit,-0.65,-1.445,0.144,0.402,165.491,1.4222558593750003
1,Miss,-0.449,-1.169,0.272,0.363,102.276,1.4222558593750003
2,RP,-0.717,-1.228,-0.207,0.249,26.537,1.4222558593750003
0,Hit,-0.823,-1.669,0.024,0.427,117.347,1.432255859375
1,Miss,-0.303,-1.082,0.475,0.391,78.693,1.432255859375
2,RP,-0.505,-1.092,0.082,0.284,24.283,1.432255859375
0,Hit,-0.653,-1.512,0.206,0.433,104.437,1.4422558593750008
1,Miss,-0.283,-1.077,0.512,0.398,72.028,1.4422558593750008
2,RP,-0.046,-0.657,0.565,0.296,23.819,1.4422558593750008
0,Hit,-0.607,-1.428,0.215,0.415,128.329,1.4522558593750006
1,Miss,-0.228,-0.981,0.525,0.379,84.408,1.4522558593750006
2,RP,0.392,-0.167,0.95,0.271,24.9,1.4522558593750006
0,Hit,-0.682,-1.466,0.101,0.397,181.169,1.4622558593750004
1,Miss,-0.204,-0.912,0.503,0.357,108.511,1.4622558593750004
2,RP,0.697,0.206,1.187,0.239,26.654,1.4622558593750004
0,Hit,-0.478,-1.234,0.278,0.384,233.945,1.472255859375
1,Miss,-0.275,-0.949,0.398,0.34,128.688,1.472255859375
2,RP,0.887,0.445,1.329,0.216,28.06,1.472255859375
0,Hit,-0.175,-0.921,0.57,0.378,265.2,1.4822558593750008
1,Miss,-0.3,-0.96,0.361,0.334,140.875,1.4822558593750008
2,RP,0.942,0.518,1.365,0.207,29.6,1.4822558593750008
0,Hit,-0.178,-0.942,0.586,0.388,220.712,1.4922558593750006
1,Miss,-0.327,-1.011,0.357,0.346,125.41,1.4922558593750006
2,RP,0.916,0.459,1.374,0.224,28.463,1.4922558593750006
0,Hit,-0.347,-1.104,0.41,0.384,210.198,1.5022558593750004
1,Miss,-0.394,-1.072,0.285,0.343,119.937,1.5022558593750004
2,RP,0.958,0.502,1.414,0.222,27.385,1.5022558593750004
