index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
0,Hit,0.062,-0.396,0.52,0.234,3299.0,-2.347744140625
1,Miss,0.192,-0.202,0.585,0.201,3299.0,-2.347744140625
2,RP,-0.032,-0.249,0.186,0.111,3299.0,-2.347744140625
0,Hit,-0.002,-0.449,0.445,0.228,3299.0,-2.3377441406249995
1,Miss,0.092,-0.292,0.475,0.196,3299.0,-2.3377441406249995
2,RP,0.086,-0.127,0.298,0.108,3299.0,-2.3377441406249995
0,Hit,0.001,-0.454,0.456,0.232,3299.0,-2.327744140625
1,Miss,0.094,-0.297,0.485,0.199,3299.0,-2.327744140625
2,RP,0.203,-0.014,0.419,0.11,3299.0,-2.327744140625
0,Hit,0.009,-0.452,0.47,0.235,3299.0,-2.317744140625
1,Miss,0.15,-0.245,0.546,0.202,3299.0,-2.317744140625
2,RP,0.123,-0.096,0.342,0.112,3299.0,-2.317744140625
0,Hit,-0.113,-0.574,0.347,0.235,3299.0,-2.307744140625
1,Miss,0.069,-0.326,0.464,0.201,3299.0,-2.307744140625
2,RP,-0.034,-0.252,0.185,0.112,3299.0,-2.307744140625
0,Hit,-0.281,-0.74,0.178,0.234,419.547,-2.2977441406249994
1,Miss,-0.021,-0.416,0.375,0.2,186.051,-2.2977441406249994
2,RP,-0.118,-0.344,0.107,0.111,35.778,-2.2977441406249994
0,Hit,-0.215,-0.679,0.249,0.236,387.638,-2.287744140625
1,Miss,0.097,-0.305,0.5,0.204,178.59,-2.287744140625
2,RP,-0.123,-0.358,0.113,0.116,34.496,-2.287744140625
0,Hit,-0.085,-0.559,0.39,0.241,356.853,-2.277744140625
1,Miss,0.107,-0.308,0.521,0.21,173.148,-2.277744140625
2,RP,-0.07,-0.32,0.18,0.123,34.09,-2.277744140625
0,Hit,-0.04,-0.515,0.435,0.242,404.656,-2.267744140625
1,Miss,-0.107,-0.519,0.305,0.209,188.377,-2.267744140625
2,RP,-0.037,-0.279,0.205,0.119,36.546,-2.267744140625
0,Hit,-0.001,-0.467,0.465,0.238,3299.0,-2.2577441406249994
1,Miss,-0.201,-0.601,0.199,0.204,3299.0,-2.2577441406249994
2,RP,-0.069,-0.29,0.153,0.113,3299.0,-2.2577441406249994
0,Hit,-0.092,-0.547,0.363,0.232,3299.0,-2.247744140625
1,Miss,-0.221,-0.612,0.17,0.199,3299.0,-2.247744140625
2,RP,-0.079,-0.295,0.137,0.11,3299.0,-2.247744140625
0,Hit,-0.295,-0.755,0.166,0.234,371.587,-2.237744140625
1,Miss,-0.432,-0.831,-0.033,0.202,169.214,-2.237744140625
2,RP,-0.021,-0.254,0.211,0.114,32.544,-2.237744140625
0,Hit,-0.286,-0.751,0.179,0.237,379.985,-2.227744140625
1,Miss,-0.559,-0.964,-0.154,0.205,179.697,-2.227744140625
2,RP,0.052,-0.189,0.292,0.118,35.004,-2.227744140625
0,Hit,-0.022,-0.475,0.431,0.231,3299.0,-2.217744140625
1,Miss,-0.434,-0.823,-0.045,0.198,3299.0,-2.217744140625
2,RP,0.086,-0.129,0.301,0.11,3299.0,-2.217744140625
0,Hit,-0.021,-0.474,0.431,0.231,3299.0,-2.207744140625
1,Miss,-0.378,-0.766,0.01,0.198,3299.0,-2.207744140625
2,RP,0.112,-0.103,0.327,0.11,3299.0,-2.207744140625
0,Hit,-0.245,-0.699,0.208,0.231,3299.0,-2.197744140625
1,Miss,-0.403,-0.792,-0.014,0.199,3299.0,-2.197744140625
2,RP,0.074,-0.141,0.29,0.11,3299.0,-2.197744140625
0,Hit,-0.177,-0.634,0.28,0.233,3299.0,-2.187744140625
1,Miss,-0.133,-0.526,0.259,0.2,3299.0,-2.187744140625
2,RP,-0.133,-0.35,0.085,0.111,3299.0,-2.187744140625
0,Hit,-0.014,-0.473,0.445,0.234,3299.0,-2.1777441406249998
1,Miss,0.18,-0.213,0.574,0.201,3299.0,-2.1777441406249998
2,RP,-0.205,-0.423,0.014,0.111,3299.0,-2.1777441406249998
0,Hit,-0.039,-0.495,0.417,0.233,3299.0,-2.1677441406249995
1,Miss,0.039,-0.353,0.43,0.2,3299.0,-2.1677441406249995
2,RP,-0.093,-0.31,0.124,0.111,3299.0,-2.1677441406249995
0,Hit,-0.13,-0.61,0.349,0.244,402.246,-2.157744140625
1,Miss,-0.148,-0.563,0.267,0.21,182.799,-2.157744140625
2,RP,-0.091,-0.331,0.149,0.118,35.229,-2.157744140625
0,Hit,-0.092,-0.573,0.39,0.246,3299.0,-2.1477441406249995
1,Miss,-0.164,-0.577,0.249,0.211,3299.0,-2.1477441406249995
2,RP,-0.069,-0.298,0.16,0.117,3299.0,-2.1477441406249995
0,Hit,0.014,-0.465,0.493,0.244,3299.0,-2.1377441406249997
1,Miss,-0.306,-0.718,0.105,0.21,3299.0,-2.1377441406249997
2,RP,0.039,-0.189,0.267,0.116,3299.0,-2.1377441406249997
0,Hit,-0.128,-0.612,0.356,0.247,3299.0,-2.1277441406249995
1,Miss,-0.348,-0.764,0.067,0.212,3299.0,-2.1277441406249995
2,RP,0.012,-0.219,0.242,0.117,3299.0,-2.1277441406249995
0,Hit,-0.295,-0.797,0.207,0.256,384.303,-2.117744140625
1,Miss,-0.179,-0.617,0.259,0.222,183.53,-2.117744140625
2,RP,-0.122,-0.383,0.139,0.129,35.907,-2.117744140625
0,Hit,-0.261,-0.753,0.232,0.251,3299.0,-2.107744140625
1,Miss,-0.088,-0.511,0.335,0.216,3299.0,-2.107744140625
2,RP,-0.09,-0.324,0.145,0.119,3299.0,-2.107744140625
0,Hit,-0.173,-0.675,0.329,0.256,3299.0,-2.097744140625
1,Miss,-0.012,-0.443,0.418,0.22,3299.0,-2.097744140625
2,RP,-0.014,-0.253,0.224,0.122,3299.0,-2.097744140625
0,Hit,-0.084,-0.587,0.418,0.256,3299.0,-2.0877441406249995
1,Miss,-0.196,-0.628,0.235,0.22,3299.0,-2.0877441406249995
2,RP,-0.143,-0.382,0.096,0.122,3299.0,-2.0877441406249995
0,Hit,0.104,-0.402,0.61,0.258,3299.0,-2.077744140625
1,Miss,-0.371,-0.805,0.064,0.222,3299.0,-2.077744140625
2,RP,-0.312,-0.553,-0.072,0.123,3299.0,-2.077744140625
0,Hit,0.245,-0.269,0.759,0.262,3299.0,-2.067744140625
1,Miss,-0.057,-0.498,0.384,0.225,3299.0,-2.067744140625
2,RP,-0.292,-0.536,-0.047,0.125,3299.0,-2.067744140625
0,Hit,0.107,-0.41,0.624,0.264,3299.0,-2.057744140625
1,Miss,0.103,-0.341,0.547,0.227,3299.0,-2.057744140625
2,RP,-0.207,-0.454,0.039,0.125,3299.0,-2.057744140625
0,Hit,-0.127,-0.662,0.407,0.272,391.432,-2.0477441406249994
1,Miss,-0.022,-0.485,0.442,0.235,180.435,-2.0477441406249994
2,RP,-0.141,-0.412,0.13,0.133,34.868,-2.0477441406249994
0,Hit,-0.125,-0.672,0.422,0.278,344.865,-2.037744140625
1,Miss,0.023,-0.455,0.502,0.243,168.435,-2.037744140625
2,RP,-0.024,-0.315,0.266,0.143,33.263,-2.037744140625
0,Hit,-0.126,-0.661,0.409,0.272,401.188,-2.027744140625
1,Miss,-0.07,-0.535,0.394,0.235,186.28,-2.027744140625
2,RP,0.04,-0.232,0.312,0.134,36.101,-2.027744140625
0,Hit,-0.31,-0.853,0.234,0.277,3299.0,-2.017744140625
1,Miss,-0.323,-0.789,0.144,0.238,3299.0,-2.017744140625
2,RP,-0.103,-0.361,0.156,0.132,3299.0,-2.017744140625
0,Hit,-0.369,-0.925,0.188,0.284,3299.0,-2.0077441406249994
1,Miss,-0.27,-0.748,0.208,0.244,3299.0,-2.0077441406249994
2,RP,-0.227,-0.491,0.038,0.135,3299.0,-2.0077441406249994
0,Hit,-0.269,-0.83,0.292,0.286,3299.0,-1.997744140625
1,Miss,-0.03,-0.512,0.451,0.245,3299.0,-1.997744140625
2,RP,-0.222,-0.489,0.045,0.136,3299.0,-1.997744140625
0,Hit,-0.15,-0.713,0.413,0.287,3299.0,-1.987744140625
1,Miss,-0.001,-0.484,0.482,0.246,3299.0,-1.987744140625
2,RP,-0.306,-0.574,-0.039,0.137,3299.0,-1.987744140625
0,Hit,-0.001,-0.575,0.573,0.293,3299.0,-1.977744140625
1,Miss,-0.098,-0.591,0.394,0.251,3299.0,-1.977744140625
2,RP,-0.405,-0.678,-0.132,0.139,3299.0,-1.977744140625
0,Hit,0.04,-0.549,0.628,0.3,3299.0,-1.967744140625
1,Miss,-0.152,-0.657,0.353,0.258,3299.0,-1.967744140625
2,RP,-0.401,-0.681,-0.121,0.143,3299.0,-1.967744140625
0,Hit,0.082,-0.515,0.68,0.305,3299.0,-1.957744140625
1,Miss,-0.149,-0.662,0.364,0.261,3299.0,-1.957744140625
2,RP,-0.354,-0.638,-0.07,0.145,3299.0,-1.957744140625
0,Hit,0.183,-0.418,0.785,0.307,3299.0,-1.947744140625
1,Miss,-0.111,-0.627,0.405,0.263,3299.0,-1.947744140625
2,RP,-0.274,-0.56,0.011,0.146,3299.0,-1.947744140625
0,Hit,0.052,-0.552,0.656,0.308,3299.0,-1.937744140625
1,Miss,-0.079,-0.597,0.439,0.264,3299.0,-1.937744140625
2,RP,-0.248,-0.535,0.039,0.146,3299.0,-1.937744140625
0,Hit,-0.209,-0.823,0.404,0.313,3299.0,-1.9277441406249995
1,Miss,-0.101,-0.627,0.426,0.268,3299.0,-1.9277441406249995
2,RP,-0.248,-0.539,0.044,0.149,3299.0,-1.9277441406249995
0,Hit,-0.399,-1.014,0.216,0.314,3299.0,-1.9177441406249995
1,Miss,-0.096,-0.624,0.432,0.269,3299.0,-1.9177441406249995
2,RP,-0.254,-0.546,0.039,0.149,3299.0,-1.9177441406249995
0,Hit,-0.55,-1.165,0.065,0.314,3299.0,-1.9077441406249995
1,Miss,0.053,-0.474,0.581,0.269,3299.0,-1.9077441406249995
2,RP,-0.361,-0.653,-0.068,0.149,3299.0,-1.9077441406249995
0,Hit,-0.603,-1.22,0.013,0.314,3299.0,-1.8977441406249995
1,Miss,0.026,-0.504,0.555,0.27,3299.0,-1.8977441406249995
2,RP,-0.468,-0.762,-0.175,0.15,3299.0,-1.8977441406249995
0,Hit,-0.523,-1.153,0.106,0.321,3299.0,-1.8877441406249995
1,Miss,-0.319,-0.859,0.221,0.276,3299.0,-1.8877441406249995
2,RP,-0.449,-0.748,-0.15,0.153,3299.0,-1.8877441406249995
0,Hit,-0.383,-1.034,0.269,0.331,414.507,-1.8777441406249995
1,Miss,-0.535,-1.099,0.029,0.286,189.731,-1.8777441406249995
2,RP,-0.399,-0.726,-0.071,0.161,36.663,-1.8777441406249995
0,Hit,-0.255,-0.92,0.411,0.339,403.046,-1.867744140625
1,Miss,-0.505,-1.083,0.072,0.293,186.585,-1.867744140625
2,RP,-0.39,-0.727,-0.052,0.166,36.132,-1.867744140625
0,Hit,-0.115,-0.778,0.547,0.337,449.757,-1.857744140625
1,Miss,-0.43,-1.001,0.141,0.29,201.232,-1.857744140625
2,RP,-0.339,-0.665,-0.014,0.161,38.857,-1.857744140625
0,Hit,-0.197,-0.882,0.488,0.349,373.173,-1.847744140625
1,Miss,-0.282,-0.88,0.317,0.303,180.984,-1.847744140625
2,RP,-0.259,-0.619,0.102,0.178,35.649,-1.847744140625
0,Hit,-0.51,-1.187,0.166,0.344,410.332,-1.837744140625
1,Miss,-0.233,-0.82,0.354,0.298,191.125,-1.837744140625
2,RP,-0.245,-0.588,0.099,0.17,37.101,-1.837744140625
0,Hit,-0.573,-1.233,0.087,0.337,3299.0,-1.827744140625
1,Miss,-0.201,-0.768,0.365,0.289,3299.0,-1.827744140625
2,RP,-0.286,-0.599,0.028,0.16,3299.0,-1.827744140625
0,Hit,-0.253,-0.923,0.417,0.342,3299.0,-1.817744140625
