condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
Hit,0.467,0.039,0.895,0.215,91.739,-1.95,27.84615384615385
RP,0.529,0.206,0.852,0.158,26.954,-1.95,27.84615384615385
FTI,0.492,-0.068,1.051,0.284,275.075,-1.95,27.84615384615385
Miss,0.482,0.119,0.844,0.182,86.692,-1.95,28.85897435897436
Hit,0.415,-0.008,0.838,0.214,162.543,-1.95,28.85897435897436
RP,0.484,0.203,0.764,0.137,29.89,-1.95,28.85897435897436
FTI,0.417,-0.171,1.005,0.299,598.937,-1.95,28.85897435897436
Miss,0.408,0.085,0.732,0.163,111.668,-1.95,29.871794871794872
Hit,0.355,-0.032,0.741,0.196,223.37,-1.95,29.871794871794872
RP,0.426,0.189,0.664,0.117,32.18,-1.95,29.871794871794872
FTI,0.349,-0.203,0.901,0.281,894.081,-1.95,29.871794871794872
Miss,0.346,0.084,0.609,0.133,116.335,-1.95,30.884615384615387
Hit,0.293,-0.022,0.607,0.16,234.844,-1.95,30.884615384615387
RP,0.358,0.167,0.549,0.094,32.594,-1.95,30.884615384615387
FTI,0.287,-0.164,0.739,0.23,950.808,-1.95,30.884615384615387
Miss,0.288,0.095,0.481,0.097,99.886,-1.95,31.897435897435894
Hit,0.233,0.004,0.461,0.116,194.593,-1.95,31.897435897435894
RP,0.284,0.139,0.429,0.071,31.086,-1.95,31.897435897435894
FTI,0.231,-0.091,0.553,0.164,753.567,-1.95,31.897435897435894
Miss,0.231,0.099,0.362,0.066,72.982,-1.95,32.91025641025641
Hit,0.178,0.027,0.329,0.076,129.898,-1.95,32.91025641025641
RP,0.214,0.108,0.32,0.052,28.57,-1.95,32.91025641025641
FTI,0.179,-0.026,0.385,0.105,445.966,-1.95,32.91025641025641
Miss,0.178,0.091,0.264,0.043,50.689,-1.95,33.92307692307692
Hit,0.131,0.035,0.227,0.048,78.853,-1.95,33.92307692307692
RP,0.154,0.079,0.229,0.036,26.331,-1.95,33.92307692307692
FTI,0.135,0.012,0.258,0.062,220.615,-1.95,33.92307692307692
Miss,0.133,0.075,0.19,0.028,39.841,-1.95,34.93589743589744
Hit,0.093,0.031,0.155,0.031,55.566,-1.95,34.93589743589744
RP,0.107,0.055,0.159,0.025,25.131,-1.95,34.93589743589744
FTI,0.098,0.023,0.173,0.038,128.132,-1.95,34.93589743589744
Miss,0.096,0.058,0.134,0.019,38.302,-1.95,35.94871794871795
Hit,0.064,0.022,0.105,0.021,52.389,-1.95,35.94871794871795
RP,0.073,0.038,0.108,0.017,24.944,-1.95,35.94871794871795
FTI,0.069,0.02,0.119,0.025,116.352,-1.95,35.94871794871795
Miss,0.067,0.042,0.093,0.013,41.495,-1.95,36.96153846153846
Hit,0.042,0.014,0.07,0.014,59.06,-1.95,36.96153846153846
RP,0.049,0.026,0.072,0.011,25.295,-1.95,36.96153846153846
FTI,0.048,0.014,0.083,0.017,141.488,-1.95,36.96153846153846
Miss,0.045,0.028,0.063,0.009,48.323,-1.95,37.97435897435897
Hit,0.026,0.007,0.045,0.01,73.755,-1.95,37.97435897435897
RP,0.033,0.018,0.048,0.007,26.017,-1.95,37.97435897435897
FTI,0.033,0.008,0.057,0.012,199.921,-1.95,37.97435897435897
Miss,0.029,0.017,0.041,0.006,61.81,-1.95,38.987179487179496
Hit,0.016,0.002,0.03,0.007,104.127,-1.95,38.987179487179496
RP,0.022,0.012,0.032,0.005,27.35,-1.95,38.987179487179496
FTI,0.022,0.003,0.04,0.009,330.208,-1.95,38.987179487179496
Miss,0.018,0.009,0.026,0.004,77.413,-1.95,40.0
Hit,0.01,-0.0,0.02,0.005,140.81,-1.95,40.0
RP,0.014,0.007,0.021,0.003,28.791,-1.95,40.0
FTI,0.014,0.0,0.028,0.007,498.5,-1.95,40.0
Miss,3.243,0.568,5.917,1.306,28.24,-1.9,0.5
Hit,3.563,0.808,6.317,1.353,32.509,-1.9,0.5
