condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
FTI,0.618,0.008,1.228,0.299,30.797,0.2,25.820512820512818
Miss,0.613,0.1,1.126,0.249,24.602,0.2,26.83333333333333
Hit,0.662,0.145,1.18,0.252,25.825,0.2,26.83333333333333
RP,0.518,0.011,1.025,0.245,23.228,0.2,26.83333333333333
FTI,0.586,0.052,1.121,0.262,30.156,0.2,26.83333333333333
Miss,0.549,0.125,0.973,0.206,24.735,0.2,27.84615384615385
Hit,0.598,0.169,1.026,0.209,26.064,0.2,27.84615384615385
RP,0.445,0.026,0.864,0.203,23.247,0.2,27.84615384615385
FTI,0.532,0.088,0.975,0.217,30.787,0.2,27.84615384615385
Miss,0.485,0.151,0.819,0.162,25.1,0.2,28.85897435897436
Hit,0.523,0.185,0.861,0.165,26.718,0.2,28.85897435897436
RP,0.367,0.038,0.696,0.159,23.298,0.2,28.85897435897436
FTI,0.462,0.109,0.814,0.173,32.533,0.2,28.85897435897436
Miss,0.418,0.163,0.674,0.124,25.628,0.2,29.871794871794872
Hit,0.446,0.187,0.705,0.126,27.672,0.2,29.871794871794872
RP,0.296,0.046,0.547,0.121,23.371,0.2,29.871794871794872
FTI,0.385,0.112,0.657,0.134,35.127,0.2,29.871794871794872
Miss,0.35,0.157,0.543,0.094,26.263,0.2,30.884615384615387
Hit,0.371,0.174,0.568,0.096,28.829,0.2,30.884615384615387
RP,0.236,0.047,0.425,0.091,23.457,0.2,30.884615384615387
FTI,0.309,0.1,0.518,0.103,38.346,0.2,30.884615384615387
Miss,0.284,0.138,0.431,0.071,26.997,0.2,31.897435897435894
Hit,0.298,0.148,0.448,0.073,30.179,0.2,31.897435897435894
RP,0.188,0.045,0.33,0.069,23.556,0.2,31.897435897435894
FTI,0.242,0.081,0.403,0.08,42.2,0.2,31.897435897435894
Miss,0.228,0.115,0.341,0.055,28.119,0.2,32.91025641025641
Hit,0.229,0.113,0.345,0.057,32.267,0.2,32.91025641025641
RP,0.148,0.039,0.257,0.053,23.706,0.2,32.91025641025641
FTI,0.188,0.061,0.314,0.063,48.344,0.2,32.91025641025641
Miss,0.183,0.095,0.271,0.043,30.507,0.2,33.92307692307692
Hit,0.169,0.077,0.261,0.045,36.802,0.2,33.92307692307692
RP,0.114,0.03,0.198,0.041,24.017,0.2,33.92307692307692
FTI,0.145,0.042,0.248,0.052,62.386,0.2,33.92307692307692
Miss,0.146,0.076,0.216,0.034,35.034,0.2,34.93589743589744
Hit,0.12,0.046,0.194,0.037,45.707,0.2,34.93589743589744
RP,0.085,0.021,0.15,0.031,24.583,0.2,34.93589743589744
FTI,0.111,0.024,0.198,0.044,92.244,0.2,34.93589743589744
Miss,0.114,0.06,0.169,0.027,41.263,0.2,35.94871794871795
Hit,0.083,0.024,0.142,0.03,58.504,0.2,35.94871794871795
RP,0.061,0.012,0.111,0.024,25.318,0.2,35.94871794871795
FTI,0.084,0.011,0.156,0.037,139.152,0.2,35.94871794871795
Miss,0.085,0.044,0.126,0.02,47.162,0.2,36.96153846153846
Hit,0.055,0.01,0.1,0.023,71.097,0.2,36.96153846153846
RP,0.043,0.007,0.079,0.017,25.978,0.2,36.96153846153846
FTI,0.061,0.004,0.118,0.029,188.676,0.2,36.96153846153846
Miss,0.059,0.031,0.088,0.014,50.335,0.2,37.97435897435897
Hit,0.036,0.004,0.067,0.016,78.03,0.2,37.97435897435897
RP,0.029,0.004,0.053,0.012,26.32,0.2,37.97435897435897
FTI,0.042,0.001,0.082,0.021,217.057,0.2,37.97435897435897
Miss,0.038,0.019,0.056,0.009,49.375,0.2,38.987179487179496
Hit,0.022,0.002,0.042,0.01,75.925,0.2,38.987179487179496
RP,0.019,0.003,0.034,0.008,26.215,0.2,38.987179487179496
FTI,0.027,0.001,0.053,0.013,208.374,0.2,38.987179487179496
Miss,0.022,0.011,0.033,0.005,44.838,0.2,40.0
Hit,0.013,0.001,0.025,0.006,66.09,0.2,40.0
RP,0.012,0.002,0.021,0.005,25.719,0.2,40.0
FTI,0.016,0.002,0.031,0.007,168.661,0.2,40.0
Miss,2.99,0.692,5.288,1.12,27.01,0.25,0.5
Hit,3.593,1.241,5.945,1.152,30.214,0.25,0.5
RP,3.165,0.929,5.4,1.082,23.547,0.25,0.5
FTI,5.415,2.886,7.943,1.253,42.324,0.25,0.5
Miss,1.23,0.664,1.796,0.276,27.855,0.25,1.5128205128205128
Hit,1.649,1.067,2.231,0.286,31.787,0.25,1.5128205128205128
RP,1.121,0.573,1.669,0.265,23.657,0.25,1.5128205128205128
FTI,1.397,0.764,2.031,0.315,46.944,0.25,1.5128205128205128
Miss,1.362,0.942,1.782,0.205,27.604,0.25,2.525641025641025
Hit,1.894,1.462,2.325,0.212,31.323,0.25,2.525641025641025
RP,0.815,0.407,1.222,0.197,23.62,0.25,2.525641025641025
FTI,1.474,1.006,1.942,0.232,45.579,0.25,2.525641025641025
Miss,1.565,1.22,1.91,0.169,28.929,0.25,3.5384615384615383
Hit,1.833,1.476,2.189,0.175,33.825,0.25,3.5384615384615383
RP,0.813,0.482,1.145,0.161,23.78,0.25,3.5384615384615383
FTI,1.51,1.116,1.904,0.196,53.146,0.25,3.5384615384615383
Miss,1.408,1.114,1.702,0.144,29.742,0.25,4.55128205128205
Hit,1.314,1.009,1.619,0.15,35.392,0.25,4.55128205128205
RP,0.863,0.582,1.144,0.136,23.867,0.25,4.55128205128205
FTI,1.302,0.961,1.643,0.17,58.062,0.25,4.55128205128205
Miss,1.506,1.25,1.763,0.126,33.328,0.25,5.564102564102564
Hit,1.324,1.054,1.595,0.134,42.429,0.25,5.564102564102564
RP,0.93,0.69,1.17,0.116,24.271,0.25,5.564102564102564
FTI,1.291,0.977,1.604,0.158,81.266,0.25,5.564102564102564
Miss,1.909,1.556,2.261,0.173,31.875,0.25,6.5769230769230775
Hit,1.816,1.447,2.185,0.183,39.559,0.25,6.5769230769230775
RP,1.098,0.766,1.431,0.161,24.099,0.25,6.5769230769230775
FTI,1.666,1.244,2.089,0.212,71.61,0.25,6.5769230769230775
Miss,2.239,1.715,2.763,0.256,29.231,0.25,7.589743589743589
Hit,2.134,1.591,2.676,0.267,34.434,0.25,7.589743589743589
RP,1.359,0.857,1.862,0.243,23.786,0.25,7.589743589743589
FTI,2.024,1.422,2.626,0.3,55.111,0.25,7.589743589743589
Miss,2.306,1.719,2.894,0.287,29.079,0.25,8.602564102564102
Hit,2.054,1.447,2.662,0.299,34.144,0.25,8.602564102564102
RP,1.587,1.023,2.151,0.273,23.768,0.25,8.602564102564102
FTI,2.085,1.412,2.758,0.336,54.211,0.25,8.602564102564102
Miss,2.168,1.612,2.724,0.272,30.104,0.25,9.615384615384617
Hit,1.81,1.232,2.387,0.285,36.098,0.25,9.615384615384617
RP,1.687,1.157,2.218,0.257,23.9,0.25,9.615384615384617
FTI,1.875,1.227,2.523,0.324,60.325,0.25,9.615384615384617
Miss,1.903,1.461,2.346,0.217,31.814,0.25,10.628205128205126
Hit,1.53,1.067,1.993,0.229,39.409,0.25,10.628205128205126
RP,1.566,1.148,1.984,0.202,24.118,0.25,10.628205128205126
FTI,1.541,1.012,2.071,0.266,71.033,0.25,10.628205128205126
Miss,1.582,1.283,1.881,0.147,35.343,0.25,11.64102564102564
Hit,1.264,0.947,1.582,0.158,46.448,0.25,11.64102564102564
RP,1.292,1.015,1.57,0.134,24.524,0.25,11.64102564102564
FTI,1.235,0.86,1.61,0.189,95.176,0.25,11.64102564102564
Miss,1.272,1.068,1.475,0.101,39.91,0.25,12.653846153846152
Hit,1.049,0.829,1.268,0.11,55.896,0.25,12.653846153846152
RP,1.017,0.833,1.201,0.089,24.999,0.25,12.653846153846152
FTI,1.038,0.77,1.306,0.135,129.936,0.25,12.653846153846152
Miss,1.031,0.864,1.199,0.083,39.151,0.25,13.666666666666664
Hit,0.914,0.734,1.094,0.09,54.275,0.25,13.666666666666664
RP,0.817,0.665,0.969,0.074,24.944,0.25,13.666666666666664
FTI,0.935,0.717,1.153,0.11,123.722,0.25,13.666666666666664
Miss,0.88,0.714,1.046,0.082,34.785,0.25,14.67948717948718
Hit,0.865,0.689,1.041,0.087,45.292,0.25,14.67948717948718
RP,0.693,0.539,0.848,0.075,24.484,0.25,14.67948717948718
FTI,0.868,0.662,1.075,0.104,91.028,0.25,14.67948717948718
Miss,0.795,0.614,0.976,0.089,31.311,0.25,15.692307692307693
Hit,0.861,0.672,1.05,0.094,38.402,0.25,15.692307692307693
RP,0.628,0.456,0.799,0.083,24.08,0.25,15.692307692307693
FTI,0.807,0.592,1.022,0.108,67.661,0.25,15.692307692307693
Miss,0.748,0.544,0.952,0.1,28.861,0.25,16.705128205128204
Hit,0.851,0.641,1.062,0.103,33.685,0.25,16.705128205128204
RP,0.599,0.404,0.795,0.095,23.782,0.25,16.705128205128204
FTI,0.751,0.519,0.984,0.116,52.692,0.25,16.705128205128204
Miss,0.725,0.491,0.958,0.114,27.406,0.25,17.71794871794872
Hit,0.817,0.578,1.056,0.117,30.947,0.25,17.71794871794872
RP,0.595,0.368,0.821,0.11,23.6,0.25,17.71794871794872
FTI,0.707,0.448,0.966,0.128,44.456,0.25,17.71794871794872
Miss,0.717,0.445,0.99,0.133,26.707,0.25,18.73076923076923
Hit,0.769,0.491,1.048,0.136,29.65,0.25,18.73076923076923
RP,0.602,0.336,0.868,0.129,23.512,0.25,18.73076923076923
FTI,0.667,0.369,0.965,0.148,40.687,0.25,18.73076923076923
Miss,0.721,0.397,1.045,0.158,26.256,0.25,19.743589743589748
Hit,0.72,0.389,1.05,0.162,28.819,0.25,19.743589743589748
RP,0.614,0.297,0.931,0.153,23.454,0.25,19.743589743589748
FTI,0.624,0.273,0.975,0.173,38.322,0.25,19.743589743589748
Miss,0.729,0.342,1.116,0.188,25.936,0.25,20.756410256410252
Hit,0.668,0.274,1.062,0.192,28.233,0.25,20.756410256410252
RP,0.626,0.247,1.006,0.184,23.412,0.25,20.756410256410252
FTI,0.582,0.166,0.999,0.205,36.681,0.25,20.756410256410252
Miss,0.728,0.274,1.182,0.221,25.766,0.25,21.76923076923077
Hit,0.607,0.145,1.069,0.225,27.923,0.25,21.76923076923077
RP,0.641,0.195,1.086,0.216,23.389,0.25,21.76923076923077
FTI,0.555,0.069,1.042,0.24,35.819,0.25,21.76923076923077
Miss,0.706,0.196,1.216,0.248,25.648,0.25,22.78205128205128
Hit,0.54,0.022,1.058,0.253,27.709,0.25,22.78205128205128
RP,0.654,0.153,1.154,0.242,23.373,0.25,22.78205128205128
FTI,0.547,0.002,1.092,0.268,35.228,0.25,22.78205128205128
Miss,0.66,0.122,1.198,0.261,25.483,0.25,23.794871794871803
Hit,0.478,-0.068,1.024,0.266,27.408,0.25,23.794871794871803
RP,0.657,0.128,1.185,0.256,23.351,0.25,23.794871794871803
FTI,0.545,-0.028,1.117,0.282,34.404,0.25,23.794871794871803
Miss,0.601,0.072,1.13,0.257,25.256,0.25,24.80769230769231
Hit,0.429,-0.107,0.966,0.262,26.999,0.25,24.80769230769231
RP,0.639,0.118,1.16,0.252,23.319,0.25,24.80769230769231
FTI,0.531,-0.029,1.092,0.276,33.29,0.25,24.80769230769231
Miss,0.543,0.056,1.031,0.237,25.044,0.25,25.820512820512818
Hit,0.395,-0.099,0.888,0.24,26.617,0.25,25.820512820512818
RP,0.598,0.117,1.078,0.232,23.29,0.25,25.820512820512818
FTI,0.497,-0.017,1.01,0.252,32.262,0.25,25.820512820512818
Miss,0.496,0.073,0.918,0.205,24.955,0.25,26.83333333333333
Hit,0.366,-0.061,0.794,0.208,26.458,0.25,26.83333333333333
RP,0.536,0.12,0.953,0.202,23.277,0.25,26.83333333333333
FTI,0.446,0.002,0.89,0.218,31.837,0.25,26.83333333333333
Miss,0.456,0.107,0.806,0.17,25.082,0.25,27.84615384615385
Hit,0.337,-0.017,0.691,0.173,26.685,0.25,27.84615384615385
RP,0.464,0.119,0.809,0.167,23.295,0.25,27.84615384615385
FTI,0.39,0.021,0.759,0.181,32.445,0.25,27.84615384615385
Miss,0.418,0.137,0.699,0.137,25.471,0.25,28.85897435897436
Hit,0.305,0.02,0.59,0.139,27.388,0.25,28.85897435897436
RP,0.39,0.114,0.666,0.134,23.349,0.25,28.85897435897436
FTI,0.335,0.036,0.634,0.147,34.351,0.25,28.85897435897436
Miss,0.374,0.151,0.598,0.109,26.09,0.25,29.871794871794872
Hit,0.273,0.046,0.501,0.111,28.513,0.25,29.871794871794872
RP,0.321,0.103,0.54,0.106,23.434,0.25,29.871794871794872
FTI,0.285,0.044,0.526,0.119,37.46,0.25,29.871794871794872
Miss,0.324,0.146,0.502,0.087,26.782,0.25,30.884615384615387
Hit,0.243,0.061,0.425,0.089,29.781,0.25,30.884615384615387
RP,0.261,0.087,0.434,0.084,23.528,0.25,30.884615384615387
FTI,0.239,0.044,0.433,0.096,41.052,0.25,30.884615384615387
Miss,0.272,0.129,0.415,0.07,27.375,0.25,31.897435897435894
Hit,0.21,0.064,0.357,0.072,30.879,0.25,31.897435897435894
RP,0.209,0.071,0.348,0.067,23.608,0.25,31.897435897435894
FTI,0.198,0.039,0.356,0.079,44.232,0.25,31.897435897435894
Miss,0.223,0.108,0.338,0.056,27.982,0.25,32.91025641025641
Hit,0.174,0.056,0.292,0.058,32.008,0.25,32.91025641025641
RP,0.166,0.055,0.277,0.054,23.689,0.25,32.91025641025641
FTI,0.161,0.033,0.29,0.064,47.566,0.25,32.91025641025641
Miss,0.18,0.088,0.271,0.045,29.088,0.25,33.92307692307692
Hit,0.135,0.04,0.229,0.046,34.091,0.25,33.92307692307692
RP,0.128,0.04,0.216,0.042,23.836,0.25,33.92307692307692
FTI,0.13,0.025,0.234,0.052,53.876,0.25,33.92307692307692
Miss,0.142,0.071,0.213,0.035,31.143,0.25,34.93589743589744
Hit,0.098,0.024,0.172,0.037,38.028,0.25,34.93589743589744
RP,0.096,0.028,0.163,0.033,24.102,0.25,34.93589743589744
FTI,0.101,0.017,0.186,0.042,66.319,0.25,34.93589743589744
Miss,0.109,0.055,0.163,0.026,34.087,0.25,35.94871794871795
Hit,0.067,0.01,0.123,0.028,43.81,0.25,35.94871794871795
RP,0.069,0.018,0.119,0.024,24.471,0.25,35.94871794871795
FTI,0.076,0.01,0.142,0.033,85.652,0.25,35.94871794871795
Miss,0.08,0.041,0.118,0.019,37.233,0.25,36.96153846153846
Hit,0.043,0.002,0.084,0.021,50.154,0.25,36.96153846153846
RP,0.047,0.012,0.082,0.017,24.852,0.25,36.96153846153846
FTI,0.055,0.005,0.104,0.025,108.067,0.25,36.96153846153846
Miss,0.055,0.028,0.081,0.013,39.474,0.25,37.97435897435897
Hit,0.027,-0.001,0.055,0.014,54.767,0.25,37.97435897435897
RP,0.031,0.007,0.055,0.012,25.115,0.25,37.97435897435897
FTI,0.037,0.003,0.071,0.017,125.035,0.25,37.97435897435897
Miss,0.034,0.018,0.051,0.008,39.921,0.25,38.987179487179496
Hit,0.016,-0.002,0.034,0.009,55.696,0.25,38.987179487179496
RP,0.02,0.005,0.035,0.007,25.167,0.25,38.987179487179496
FTI,0.023,0.002,0.045,0.011,128.513,0.25,38.987179487179496
Miss,0.02,0.01,0.03,0.005,38.643,0.25,40.0
Hit,0.01,-0.001,0.02,0.005,53.048,0.25,40.0
RP,0.013,0.003,0.022,0.004,25.018,0.25,40.0
FTI,0.014,0.001,0.027,0.007,118.654,0.25,40.0
Miss,3.067,0.73,5.404,1.139,27.028,0.30000000000000004,0.5
Hit,3.685,1.293,6.077,1.172,30.248,0.30000000000000004,0.5
RP,3.227,0.953,5.5,1.1,23.549,0.30000000000000004,0.5
FTI,5.538,2.965,8.11,1.275,42.425,0.30000000000000004,0.5
Miss,1.245,0.684,1.806,0.274,27.711,0.30000000000000004,1.5128205128205128
Hit,1.611,1.035,2.188,0.283,31.518,0.30000000000000004,1.5128205128205128
RP,1.117,0.574,1.66,0.263,23.638,0.30000000000000004,1.5128205128205128
FTI,1.406,0.78,2.032,0.311,46.145,0.30000000000000004,1.5128205128205128
Miss,1.387,0.963,1.81,0.206,27.462,0.30000000000000004,2.525641025641025
Hit,1.913,1.479,2.347,0.213,31.059,0.30000000000000004,2.525641025641025
RP,0.797,0.386,1.207,0.199,23.601,0.30000000000000004,2.525641025641025
FTI,1.474,1.004,1.944,0.233,44.8,0.30000000000000004,2.525641025641025
Miss,1.538,1.199,1.877,0.166,28.5,0.30000000000000004,3.5384615384615383
Hit,1.781,1.432,2.131,0.172,33.012,0.30000000000000004,3.5384615384615383
RP,0.803,0.477,1.13,0.158,23.728,0.30000000000000004,3.5384615384615383
FTI,1.467,1.083,1.851,0.191,50.656,0.30000000000000004,3.5384615384615383
Miss,1.34,1.052,1.628,0.141,29.429,0.30000000000000004,4.55128205128205
Hit,1.19,0.892,1.489,0.147,34.787,0.30000000000000004,4.55128205128205
RP,0.854,0.578,1.13,0.134,23.835,0.30000000000000004,4.55128205128205
FTI,1.213,0.882,1.545,0.166,56.146,0.30000000000000004,4.55128205128205
Miss,1.357,1.104,1.61,0.124,32.709,0.30000000000000004,5.564102564102564
Hit,1.138,0.872,1.404,0.132,41.175,0.30000000000000004,5.564102564102564
RP,0.918,0.681,1.156,0.115,24.22,0.30000000000000004,5.564102564102564
FTI,1.157,0.85,1.463,0.154,76.943,0.30000000000000004,5.564102564102564
Miss,1.671,1.329,2.013,0.168,31.435,0.30000000000000004,6.5769230769230775
Hit,1.538,1.181,1.896,0.177,38.685,0.30000000000000004,6.5769230769230775
RP,1.093,0.769,1.417,0.157,24.058,0.30000000000000004,6.5769230769230775
FTI,1.466,1.059,1.874,0.204,68.69,0.30000000000000004,6.5769230769230775
Miss,1.925,1.418,2.431,0.248,28.861,0.30000000000000004,7.589743589743589
Hit,1.734,1.211,2.258,0.258,33.724,0.30000000000000004,7.589743589743589
RP,1.369,0.882,1.856,0.236,23.744,0.30000000000000004,7.589743589743589
FTI,1.712,1.134,2.29,0.288,52.907,0.30000000000000004,7.589743589743589
Miss,1.964,1.406,2.522,0.273,28.647,0.30000000000000004,8.602564102564102
Hit,1.594,1.018,2.169,0.283,33.322,0.30000000000000004,8.602564102564102
RP,1.593,1.056,2.13,0.26,23.714,0.30000000000000004,8.602564102564102
FTI,1.662,1.027,2.296,0.316,51.68,0.30000000000000004,8.602564102564102
Miss,1.858,1.345,2.372,0.251,29.914,0.30000000000000004,9.615384615384617
Hit,1.392,0.858,1.925,0.263,35.742,0.30000000000000004,9.615384615384617
RP,1.674,1.184,2.165,0.238,23.869,0.30000000000000004,9.615384615384617
FTI,1.433,0.836,2.03,0.298,59.217,0.30000000000000004,9.615384615384617
Miss,1.658,1.254,2.063,0.199,32.041,0.30000000000000004,10.628205128205126
Hit,1.225,0.801,1.649,0.21,39.879,0.30000000000000004,10.628205128205126
RP,1.542,1.161,1.924,0.185,24.123,0.30000000000000004,10.628205128205126
FTI,1.168,0.682,1.654,0.244,72.659,0.30000000000000004,10.628205128205126
Miss,1.41,1.133,1.687,0.137,35.915,0.30000000000000004,11.64102564102564
Hit,1.077,0.782,1.372,0.147,47.677,0.30000000000000004,11.64102564102564
RP,1.274,1.019,1.53,0.124,24.533,0.30000000000000004,11.64102564102564
FTI,0.946,0.596,1.296,0.176,99.743,0.30000000000000004,11.64102564102564
Miss,1.163,0.967,1.359,0.097,39.873,0.30000000000000004,12.653846153846152
Hit,0.945,0.733,1.156,0.106,55.923,0.30000000000000004,12.653846153846152
RP,1.017,0.84,1.194,0.086,24.918,0.30000000000000004,12.653846153846152
FTI,0.803,0.544,1.061,0.13,130.349,0.30000000000000004,12.653846153846152
Miss,0.963,0.799,1.127,0.081,38.656,0.30000000000000004,13.666666666666664
Hit,0.851,0.675,1.027,0.088,53.29,0.30000000000000004,13.666666666666664
RP,0.835,0.686,0.985,0.072,24.856,0.30000000000000004,13.666666666666664
FTI,0.739,0.525,0.952,0.108,120.179,0.30000000000000004,13.666666666666664
Miss,0.835,0.674,0.995,0.079,34.751,0.30000000000000004,14.67948717948718
Hit,0.81,0.641,0.98,0.084,45.22,0.30000000000000004,14.67948717948718
RP,0.724,0.575,0.873,0.072,24.482,0.30000000000000004,14.67948717948718
FTI,0.727,0.527,0.926,0.1,90.767,0.30000000000000004,14.67948717948718
Miss,0.768,0.59,0.947,0.088,31.394,0.30000000000000004,15.692307692307693
Hit,0.801,0.614,0.987,0.092,38.551,0.30000000000000004,15.692307692307693
RP,0.662,0.493,0.831,0.082,24.101,0.30000000000000004,15.692307692307693
FTI,0.737,0.525,0.949,0.106,68.117,0.30000000000000004,15.692307692307693
Miss,0.737,0.525,0.948,0.103,28.972,0.30000000000000004,16.705128205128204
Hit,0.787,0.569,1.006,0.107,33.888,0.30000000000000004,16.705128205128204
RP,0.633,0.43,0.836,0.098,23.803,0.30000000000000004,16.705128205128204
FTI,0.748,0.507,0.989,0.12,53.296,0.30000000000000004,16.705128205128204
Miss,0.721,0.472,0.97,0.122,27.31,0.30000000000000004,17.71794871794872
Hit,0.76,0.504,1.015,0.125,30.766,0.30000000000000004,17.71794871794872
RP,0.625,0.383,0.867,0.117,23.591,0.30000000000000004,17.71794871794872
FTI,0.74,0.464,1.016,0.137,43.922,0.30000000000000004,17.71794871794872
Miss,0.71,0.423,0.998,0.14,26.419,0.30000000000000004,18.73076923076923
Hit,0.724,0.431,1.017,0.143,29.12,0.30000000000000004,18.73076923076923
RP,0.628,0.347,0.908,0.136,23.474,0.30000000000000004,18.73076923076923
FTI,0.705,0.392,1.017,0.154,39.177,0.30000000000000004,18.73076923076923
Miss,0.698,0.373,1.024,0.158,26.123,0.30000000000000004,19.743589743589748
Hit,0.679,0.348,1.01,0.162,28.576,0.30000000000000004,19.743589743589748
RP,0.635,0.317,0.953,0.154,23.435,0.30000000000000004,19.743589743589748
FTI,0.651,0.3,1.002,0.173,37.641,0.30000000000000004,19.743589743589748
Miss,0.683,0.316,1.05,0.179,26.045,0.30000000000000004,20.756410256410252
Hit,0.617,0.243,0.99,0.183,28.432,0.30000000000000004,20.756410256410252
RP,0.645,0.285,1.004,0.174,23.426,0.30000000000000004,20.756410256410252
FTI,0.6,0.204,0.996,0.195,37.237,0.30000000000000004,20.756410256410252
Miss,0.663,0.251,1.075,0.201,25.956,0.30000000000000004,21.76923076923077
Hit,0.536,0.116,0.956,0.205,28.269,0.30000000000000004,21.76923076923077
RP,0.656,0.252,1.06,0.195,23.415,0.30000000000000004,21.76923076923077
FTI,0.562,0.118,1.005,0.219,36.781,0.30000000000000004,21.76923076923077
Miss,0.634,0.183,1.086,0.22,25.906,0.30000000000000004,22.78205128205128
Hit,0.451,-0.009,0.91,0.224,28.177,0.30000000000000004,22.78205128205128
RP,0.662,0.219,1.104,0.214,23.408,0.30000000000000004,22.78205128205128
FTI,0.533,0.048,1.018,0.239,36.523,0.30000000000000004,22.78205128205128
Miss,0.594,0.124,1.064,0.228,25.89,0.30000000000000004,23.794871794871803
Hit,0.378,-0.1,0.856,0.233,28.149,0.30000000000000004,23.794871794871803
RP,0.652,0.191,1.112,0.223,23.406,0.30000000000000004,23.794871794871803
FTI,0.504,-0.001,1.008,0.249,36.445,0.30000000000000004,23.794871794871803
Miss,0.545,0.087,1.003,0.223,25.805,0.30000000000000004,24.80769230769231
Hit,0.327,-0.138,0.793,0.227,27.994,0.30000000000000004,24.80769230769231
RP,0.621,0.172,1.069,0.217,23.395,0.30000000000000004,24.80769230769231
FTI,0.467,-0.024,0.958,0.242,36.014,0.30000000000000004,24.80769230769231
Miss,0.494,0.076,0.913,0.204,25.635,0.30000000000000004,25.820512820512818
Hit,0.296,-0.129,0.721,0.208,27.685,0.30000000000000004,25.820512820512818
RP,0.572,0.161,0.983,0.199,23.371,0.30000000000000004,25.820512820512818
FTI,0.422,-0.025,0.87,0.22,35.165,0.30000000000000004,25.820512820512818
Miss,0.448,0.083,0.814,0.178,25.517,0.30000000000000004,26.83333333333333
Hit,0.275,-0.096,0.646,0.181,27.472,0.30000000000000004,26.83333333333333
RP,0.513,0.154,0.872,0.174,23.355,0.30000000000000004,26.83333333333333
FTI,0.373,-0.016,0.762,0.192,34.579,0.30000000000000004,26.83333333333333
Miss,0.407,0.098,0.717,0.151,25.615,0.30000000000000004,27.84615384615385
Hit,0.258,-0.057,0.572,0.154,27.648,0.30000000000000004,27.84615384615385
RP,0.453,0.148,0.757,0.147,23.368,0.30000000000000004,27.84615384615385
FTI,0.324,-0.006,0.655,0.163,35.063,0.30000000000000004,27.84615384615385
Miss,0.368,0.108,0.627,0.126,25.926,0.30000000000000004,28.85897435897436
Hit,0.242,-0.022,0.506,0.129,28.213,0.30000000000000004,28.85897435897436
RP,0.393,0.139,0.647,0.123,23.411,0.30000000000000004,28.85897435897436
FTI,0.279,0.0,0.558,0.138,36.624,0.30000000000000004,28.85897435897436
Miss,0.325,0.109,0.541,0.105,26.245,0.30000000000000004,29.871794871794872
Hit,0.229,0.009,0.449,0.108,28.796,0.30000000000000004,29.871794871794872
RP,0.335,0.123,0.546,0.102,23.455,0.30000000000000004,29.871794871794872
FTI,0.239,0.005,0.473,0.116,38.254,0.30000000000000004,29.871794871794872
Miss,0.279,0.1,0.458,0.087,26.374,0.30000000000000004,30.884615384615387
Hit,0.215,0.033,0.398,0.089,29.032,0.30000000000000004,30.884615384615387
RP,0.279,0.105,0.454,0.085,23.473,0.30000000000000004,30.884615384615387
FTI,0.204,0.009,0.398,0.096,38.918,0.30000000000000004,30.884615384615387
Miss,0.232,0.085,0.379,0.072,26.328,0.30000000000000004,31.897435897435894
Hit,0.197,0.047,0.347,0.073,28.947,0.30000000000000004,31.897435897435894
RP,0.228,0.084,0.371,0.069,23.466,0.30000000000000004,31.897435897435894
FTI,0.173,0.014,0.333,0.079,38.678,0.30000000000000004,31.897435897435894
Miss,0.188,0.069,0.307,0.058,26.294,0.30000000000000004,32.91025641025641
Hit,0.171,0.049,0.292,0.059,28.885,0.30000000000000004,32.91025641025641
RP,0.181,0.065,0.298,0.056,23.462,0.30000000000000004,32.91025641025641
FTI,0.145,0.016,0.274,0.064,38.504,0.30000000000000004,32.91025641025641
Miss,0.15,0.056,0.244,0.046,26.439,0.30000000000000004,33.92307692307692
Hit,0.137,0.041,0.233,0.047,29.151,0.30000000000000004,33.92307692307692
RP,0.141,0.049,0.232,0.044,23.482,0.30000000000000004,33.92307692307692
FTI,0.119,0.016,0.221,0.051,39.255,0.30000000000000004,33.92307692307692
Miss,0.117,0.045,0.189,0.035,26.846,0.30000000000000004,34.93589743589744
Hit,0.101,0.027,0.174,0.036,29.9,0.30000000000000004,34.93589743589744
RP,0.105,0.035,0.175,0.034,23.537,0.30000000000000004,34.93589743589744
FTI,0.093,0.014,0.171,0.039,41.39,0.30000000000000004,34.93589743589744
Miss,0.089,0.037,0.142,0.026,27.598,0.30000000000000004,35.94871794871795
Hit,0.068,0.014,0.122,0.026,31.291,0.30000000000000004,35.94871794871795
RP,0.076,0.025,0.127,0.025,23.638,0.30000000000000004,35.94871794871795
FTI,0.068,0.01,0.127,0.029,45.44,0.30000000000000004,35.94871794871795
Miss,0.065,0.028,0.102,0.018,28.766,0.30000000000000004,36.96153846153846
Hit,0.043,0.005,0.081,0.019,33.48,0.30000000000000004,36.96153846153846
RP,0.052,0.017,0.087,0.017,23.794,0.30000000000000004,36.96153846153846
FTI,0.047,0.006,0.089,0.021,52.004,0.30000000000000004,36.96153846153846
Miss,0.045,0.021,0.069,0.012,30.235,0.30000000000000004,37.97435897435897
Hit,0.026,0.001,0.052,0.013,36.277,0.30000000000000004,37.97435897435897
RP,0.034,0.011,0.057,0.011,23.985,0.30000000000000004,37.97435897435897
FTI,0.031,0.003,0.06,0.014,60.707,0.30000000000000004,37.97435897435897
